B00, 0
B01, 0
B02, 0
B03, 0
B04, 0
B05, 0
B06, 0
B07, 1
B07, Trade, 17.133, 122, B07, S02, 1
B08, 6
B08, Trade, 16.033, 128, B08, S06, 1
B08, Trade, 58.200, 133, B08, S06, 1
B08, Trade, 149.617, 141, B08, S05, 1
B08, Trade, 167.783, 144, B08, S00, 1
B08, Trade, 199.600, 147, B08, S00, 1
B08, Trade, 221.317, 149, B08, S00, 1
B09, 1
B09, Trade, 267.850, 158, B09, S02, 1
B10, 1
B10, Trade, 8.133, 134, B10, S00, 1
B11, 1
B11, Trade, 32.267, 130, B11, S06, 1
B12, 32
B12, Trade, 4.483, 128, B12, S06, 1
B12, Trade, 14.033, 141, B12, S06, 1
B12, Trade, 32.100, 143, B12, S00, 1
B12, Trade, 38.067, 141, B12, S00, 1
B12, Trade, 51.050, 145, B12, S06, 1
B12, Trade, 57.533, 144, B12, S00, 1
B12, Trade, 67.267, 147, B12, S00, 1
B12, Trade, 75.283, 147, B12, S06, 1
B12, Trade, 83.617, 148, B12, S06, 1
B12, Trade, 95.800, 149, B12, S06, 1
B12, Trade, 103.983, 150, B12, S06, 1
B12, Trade, 112.733, 151, B12, S06, 1
B12, Trade, 115.733, 150, B12, S06, 1
B12, Trade, 124.600, 150, B12, S02, 1
B12, Trade, 132.067, 153, B12, S05, 1
B12, Trade, 136.917, 153, B12, S00, 1
B12, Trade, 145.133, 149, B12, S06, 1
B12, Trade, 149.300, 153, B12, S06, 1
B12, Trade, 166.000, 156, B12, S00, 1
B12, Trade, 178.600, 154, S02, B12, 1
B12, Trade, 185.483, 154, B12, S06, 1
B12, Trade, 191.317, 155, B12, S06, 1
B12, Trade, 197.200, 158, B12, S05, 1
B12, Trade, 205.433, 160, B12, S00, 1
B12, Trade, 212.133, 159, B12, S06, 1
B12, Trade, 219.500, 161, B12, S02, 1
B12, Trade, 227.917, 161, B12, S00, 1
B12, Trade, 244.267, 164, B12, S00, 1
B12, Trade, 253.733, 165, B12, S06, 1
B12, Trade, 267.400, 166, B12, S06, 1
B12, Trade, 278.450, 168, B12, S00, 1
B12, Trade, 297.617, 168, B12, S08, 1
B13, 8
B13, Trade, 122.833, 156, B13, S13, 1
B13, Trade, 151.433, 156, B13, S02, 1
B13, Trade, 158.717, 156, B13, S06, 1
B13, Trade, 167.417, 158, S12, B13, 1
B13, Trade, 197.667, 160, B13, S02, 1
B13, Trade, 227.167, 161, B13, S06, 1
B13, Trade, 268.567, 166, B13, S11, 1
B13, Trade, 296.667, 173, B13, S01, 1
B14, 30
B14, Trade, 6.750, 133, B14, S06, 1
B14, Trade, 15.467, 141, B14, S02, 1
B14, Trade, 24.317, 149, B14, S06, 1
