B00, 0
B01, 0
B02, 0
B03, 0
B04, 0
B05, 0
B06, 0
B07, 0
B08, 1
B08, Trade, 2.917, 126, B08, S01, 1
B09, 3
B09, Trade, 101.683, 141, B09, S01, 1
B09, Trade, 116.350, 142, B09, S01, 1
B09, Trade, 257.617, 157, B09, S06, 1
B10, 0
B11, 3
B11, Trade, 242.850, 158, B11, S10, 1
B11, Trade, 253.600, 162, B11, S07, 1
B11, Trade, 297.517, 166, B11, S01, 1
B12, 13
B12, Trade, 31.883, 143, B12, S01, 1
B12, Trade, 115.983, 152, B12, S01, 1
B12, Trade, 139.250, 154, B12, S03, 1
B12, Trade, 156.633, 156, B12, S06, 1
B12, Trade, 159.033, 151, B12, S05, 1
B12, Trade, 224.333, 163, B12, S06, 1
B12, Trade, 239.917, 165, B12, S06, 1
B12, Trade, 244.350, 165, B12, S02, 1
B12, Trade, 251.217, 166, B12, S01, 1
B12, Trade, 262.200, 167, B12, S07, 1
B12, Trade, 270.533, 168, B12, S01, 1
B12, Trade, 294.883, 170, B12, S01, 1
B12, Trade, 296.400, 171, B12, S06, 1
B13, 0
B14, 0
B15, 10
B15, Trade, 243.067, 159, B15, S07, 1
B15, Trade, 248.833, 176, B15, S06, 1
B15, Trade, 258.400, 169, B15, S09, 1
B15, Trade, 262.383, 168, B15, S05, 1
B15, Trade, 269.133, 173, B15, S00, 1
B15, Trade, 274.417, 178, B15, S01, 1
B15, Trade, 281.050, 179, B15, S06, 1
B15, Trade, 286.033, 179, B15, S07, 1
B15, Trade, 289.100, 180, B15, S09, 1
B15, Trade, 295.867, 180, B15, S05, 1
B16, 1
B16, Trade, 101.367, 146, B16, S05, 1
B17, 37
B17, Trade, 16.650, 157, B17, S01, 1
B17, Trade, 21.283, 158, B17, S13, 1
B17, Trade, 26.200, 159, B17, S05, 1
B17, Trade, 28.917, 156, B17, S06, 1
B17, Trade, 36.050, 151, B17, S03, 1
B17, Trade, 42.533, 156, B17, S06, 1
B17, Trade, 51.533, 159, B17, S01, 1
B17, Trade, 57.550, 156, B17, S06, 1
B17, Trade, 70.000, 158, S00, B17, 1
B17, Trade, 76.667, 153, B17, S06, 1
B17, Trade, 84.450, 158, B17, S06, 1
B17, Trade, 86.833, 160, B17, S05, 1
B17, Trade, 93.433, 157, B17, S06, 1
B17, Trade, 100.000, 166, B17, S06, 1
B17, Trade, 104.667, 160, B17, S03, 1
B17, Trade, 114.133, 162, S00, B17, 1
B17, Trade, 124.833, 159, B17, S00, 1
B17, Trade, 135.750, 170, B17, S06, 1
B17, Trade, 138.600, 171, B17, S05, 1
B17, Trade, 148.483, 170, B17, S01, 1
B17, Trade, 155.333, 167, B17, S05, 1
B17, Trade, 170.017, 163, B17, S05, 1
B17, Trade, 188.233, 174, B17, S01, 1
B17, Trade, 189.567, 174, B17, S13, 1
B17, Trade, 194.667, 170, B17, S14, 1
B17, Trade, 210.017, 177, B17, S14, 1
B17, Trade, 235.717, 178, B17, S06, 1
B17, Trade, 238.500, 177, B17, S14, 1
B17, Trade, 248.350, 177, B17, S02, 1
B17, Trade, 255.350, 161, S03, B17, 1
B17, Trade, 257.500, 165, B17, S08, 1
B17, Trade, 267.383, 173, S02, B17, 1
B17, Trade, 269.817, 173, B17, S09, 1
B17, Trade, 274.783, 174, B17, S05, 1
B17, Trade, 283.933, 176, B17, S10, 1
B17, Trade, 287.067, 178, B17, S03, 1
B17, Trade, 293.483, 183, B17, S08, 1
B18, 16
B18, Trade, 19.283, 160, S00, B18, 1
B18, Trade, 43.300, 160, S12, B18, 1
B18, Trade, 93.217, 160, S04, B18, 1
B18, Trade, 117.250, 162, S11, B18, 1
B18, Trade, 132.467, 167, B18, S01, 1
B18, Trade, 138.300, 173, B18, S15, 1
B18, Trade, 141.400, 162, B18, S04, 1
B18, Trade, 148.367, 172, B18, S03, 1
B18, Trade, 163.233, 161, S00, B18, 1
B18, Trade, 172.317, 163, B18, S01, 1
B18, Trade, 200.633, 169, B18, S01, 1
B18, Trade, 220.350, 182, S12, B18, 1
B18, Trade, 240.533, 176, S15, B18, 1
B18, Trade, 256.333, 163, S00, B18, 1
B18, Trade, 278.867, 181, S15, B18, 1
B18, Trade, 284.467, 184, S15, B18, 1
B19, 12
