B00, 0
B01, 0
B02, 0
B03, 0
B04, 0
B05, 0
B06, 0
B07, 0
B08, 0
B09, 1
B09, Trade, 2.650, 124, S03, B09, 1
B10, 0
B11, 1
B11, Trade, 285.483, 165, B11, S07, 1
B12, 3
B12, Trade, 5.233, 124, B12, S05, 1
B12, Trade, 13.583, 142, B12, S04, 1
B12, Trade, 284.767, 169, B12, S05, 1
B13, 15
B13, Trade, 6.217, 138, B13, S07, 1
B13, Trade, 18.400, 144, B13, S07, 1
B13, Trade, 51.283, 148, B13, S05, 1
B13, Trade, 84.000, 151, B13, S07, 1
B13, Trade, 117.517, 154, B13, S05, 1
B13, Trade, 130.167, 156, B13, S05, 1
B13, Trade, 141.050, 157, B13, S07, 1
B13, Trade, 211.067, 163, B13, S05, 1
B13, Trade, 220.517, 165, B13, S07, 1
B13, Trade, 231.000, 166, B13, S07, 1
B13, Trade, 232.483, 165, B13, S05, 1
B13, Trade, 245.500, 167, B13, S04, 1
B13, Trade, 264.117, 169, B13, S01, 1
B13, Trade, 284.567, 171, B13, S06, 1
B13, Trade, 295.367, 172, B13, S05, 1
B14, 42
B14, Trade, 1.933, 113, S04, B14, 1
B14, Trade, 10.700, 144, S08, B14, 1
B14, Trade, 14.383, 149, S08, B14, 1
B14, Trade, 20.267, 150, B14, S04, 1
B14, Trade, 48.833, 153, B14, S07, 1
B14, Trade, 58.500, 153, B14, S04, 1
B14, Trade, 65.317, 154, B14, S06, 1
B14, Trade, 70.583, 154, S08, B14, 1
B14, Trade, 72.017, 155, S14, B14, 1
B14, Trade, 78.700, 156, S14, B14, 1
B14, Trade, 82.483, 156, B14, S14, 1
B14, Trade, 98.950, 158, B14, S05, 1
B14, Trade, 110.617, 159, B14, S02, 1
B14, Trade, 116.183, 159, B14, S07, 1
B14, Trade, 124.133, 160, B14, S14, 1
B14, Trade, 130.100, 161, B14, S07, 1
B14, Trade, 144.217, 162, B14, S14, 1
B14, Trade, 146.183, 162, B14, S02, 1
B14, Trade, 148.850, 163, B14, S04, 1
B14, Trade, 155.300, 163, B14, S13, 1
B14, Trade, 160.483, 164, B14, S04, 1
B14, Trade, 166.317, 164, B14, S04, 1
B14, Trade, 171.883, 165, B14, S04, 1
B14, Trade, 181.067, 166, B14, S03, 1
B14, Trade, 189.633, 167, B14, S07, 1
B14, Trade, 197.317, 168, B14, S05, 1
B14, Trade, 200.183, 168, S08, B14, 1
B14, Trade, 207.250, 168, B14, S12, 1
B14, Trade, 210.767, 169, S14, B14, 1
B14, Trade, 214.500, 169, S03, B14, 1
B14, Trade, 222.850, 170, B14, S14, 1
B14, Trade, 230.167, 171, S14, B14, 1
B14, Trade, 232.900, 171, S03, B14, 1
B14, Trade, 238.400, 172, S14, B14, 1
B14, Trade, 257.683, 174, B14, S13, 1
B14, Trade, 259.467, 174, S10, B14, 1
B14, Trade, 267.667, 174, S13, B14, 1
B14, Trade, 273.050, 172, S03, B14, 1
B14, Trade, 282.483, 176, B14, S09, 1
B14, Trade, 289.583, 177, S14, B14, 1
B14, Trade, 295.300, 177, B14, S04, 1
B14, Trade, 297.317, 178, B14, S11, 1
B15, 39
B15, Trade, 13.167, 143, S03, B15, 1
B15, Trade, 33.967, 153, B15, S05, 1
B15, Trade, 48.250, 155, B15, S14, 1
B15, Trade, 54.550, 155, B15, S01, 1
B15, Trade, 64.083, 156, B15, S01, 1
B15, Trade, 66.600, 153, B15, S05, 1
B15, Trade, 72.183, 152, B15, S05, 1
B15, Trade, 77.400, 153, B15, S05, 1
B15, Trade, 83.483, 153, B15, S05, 1
B15, Trade, 91.467, 159, B15, S04, 1
B15, Trade, 104.750, 158, B15, S05, 1
B15, Trade, 114.933, 161, B15, S04, 1
B15, Trade, 122.650, 162, B15, S07, 1
B15, Trade, 123.633, 161, B15, S04, 1
B15, Trade, 135.483, 157, B15, S07, 1
B15, Trade, 140.733, 162, B15, S01, 1
B15, Trade, 145.233, 162, B15, S05, 1
B15, Trade, 146.883, 162, S08, B15, 1
B15, Trade, 155.617, 159, B15, S05, 1
B15, Trade, 164.383, 163, B15, S02, 1
B15, Trade, 173.117, 165, B15, S08, 1
B15, Trade, 180.317, 163, B15, S05, 1
B15, Trade, 181.300, 166, B15, S14, 1
B15, Trade, 188.283, 169, B15, S05, 1
B15, Trade, 197.617, 168, B15, S01, 1
B15, Trade, 208.267, 165, B15, S04, 1
B15, Trade, 215.250, 168, B15, S05, 1
B15, Trade, 219.050, 169, B15, S04, 1
B15, Trade, 228.150, 172, B15, S01, 1
B15, Trade, 232.017, 169, S13, B15, 1
B15, Trade, 243.883, 174, B15, S02, 1
B15, Trade, 253.633, 175, B15, S14, 1
B15, Trade, 257.517, 174, B15, S09, 1
B15, Trade, 261.883, 169, B15, S05, 1
B15, Trade, 269.017, 170, B15, S04, 1
B15, Trade, 273.800, 169, B15, S07, 1
B15, Trade, 282.900, 176, B15, S04, 1
B15, Trade, 291.833, 178, B15, S04, 1
B15, Trade, 291.900, 177, B15, S05, 1
B16, 47
B16, Trade, 9.983, 143, B16, S04, 1
B16, Trade, 17.000, 154, B16, S04, 1
B16, Trade, 17.917, 150, S14, B16, 1
B16, Trade, 25.417, 150, B16, S14, 1
