B00, 0
B01, 0
B02, 0
B03, 0
B04, 0
B05, 0
B06, 0
B07, 0
B08, 0
B09, 0
B10, 1
B10, Trade, 216.783, 148, B10, S01, 1
B11, 3
B11, Trade, 25.617, 138, B11, S01, 1
B11, Trade, 48.683, 140, B11, S02, 1
B11, Trade, 140.533, 150, B11, S03, 1
B12, 1
B12, Trade, 14.883, 141, B12, S01, 1
B13, 15
B13, Trade, 14.950, 128, S08, B13, 1
B13, Trade, 44.717, 147, S05, B13, 1
B13, Trade, 61.617, 148, B13, S00, 1
B13, Trade, 62.900, 149, B13, S01, 1
B13, Trade, 83.017, 150, B13, S01, 1
B13, Trade, 92.950, 152, B13, S01, 1
B13, Trade, 116.617, 154, B13, S00, 1
B13, Trade, 139.200, 156, B13, S01, 1
B13, Trade, 156.100, 158, B13, S08, 1
B13, Trade, 190.817, 160, B13, S01, 1
B13, Trade, 202.933, 163, B13, S03, 1
B13, Trade, 215.183, 164, B13, S03, 1
B13, Trade, 225.267, 164, B13, S01, 1
B13, Trade, 252.767, 168, B13, S03, 1
B13, Trade, 282.300, 170, B13, S11, 1
B14, 6
B14, Trade, 248.500, 171, B14, S01, 1
B14, Trade, 252.150, 173, B14, S14, 1
B14, Trade, 262.750, 174, B14, S03, 1
B14, Trade, 271.617, 175, B14, S05, 1
B14, Trade, 281.683, 176, B14, S01, 1
B14, Trade, 299.550, 177, B14, S11, 1
B15, 46
B15, Trade, 1.033, 151, B15, S10, 1
B15, Trade, 10.117, 149, S14, B15, 1
B15, Trade, 23.467, 153, B15, S01, 1
B15, Trade, 32.017, 154, B15, S14, 1
B15, Trade, 36.667, 154, B15, S13, 1
B15, Trade, 44.333, 155, B15, S08, 1
B15, Trade, 48.633, 156, B15, S04, 1
B15, Trade, 57.617, 156, B15, S01, 1
B15, Trade, 60.750, 157, B15, S10, 1
B15, Trade, 64.500, 153, S05, B15, 1
B15, Trade, 72.533, 158, B15, S14, 1
B15, Trade, 79.883, 159, B15, S02, 1
B15, Trade, 86.000, 160, S06, B15, 1
B15, Trade, 86.833, 160, S05, B15, 1
B15, Trade, 93.650, 160, B15, S00, 1
B15, Trade, 99.817, 161, B15, S14, 1
B15, Trade, 102.967, 161, B15, S08, 1
B15, Trade, 111.133, 157, S05, B15, 1
B15, Trade, 112.917, 158, S06, B15, 1
B15, Trade, 121.033, 158, S13, B15, 1
B15, Trade, 126.500, 163, B15, S10, 1
B15, Trade, 129.550, 160, S13, B15, 1
B15, Trade, 139.000, 164, B15, S04, 1
B15, Trade, 142.400, 165, B15, S10, 1
B15, Trade, 155.817, 166, B15, S00, 1
B15, Trade, 159.750, 167, B15, S02, 1
B15, Trade, 165.983, 166, S05, B15, 1
B15, Trade, 171.750, 168, B15, S14, 1
B15, Trade, 177.667, 169, B15, S12, 1
B15, Trade, 188.683, 169, B15, S14, 1
