B00, 0
B01, 0
B02, 0
B03, 0
B04, 0
B05, 0
B06, 0
B07, 0
B08, 0
B09, 1
B09, Trade, 29.350, 134, B09, S01, 1
B10, 11
B10, Trade, 20.350, 136, B10, S05, 1
B10, Trade, 29.233, 136, B10, S06, 1
B10, Trade, 35.550, 137, B10, S00, 1
B10, Trade, 53.117, 139, B10, S01, 1
B10, Trade, 92.950, 143, B10, S01, 1
B10, Trade, 128.933, 146, B10, S06, 1
B10, Trade, 146.217, 148, B10, S01, 1
B10, Trade, 189.383, 150, B10, S01, 1
B10, Trade, 193.283, 145, B10, S00, 1
B10, Trade, 258.583, 159, B10, S01, 1
B10, Trade, 283.400, 162, B10, S01, 1
B11, 6
B11, Trade, 242.583, 158, B11, S01, 1
B11, Trade, 252.533, 162, B11, S05, 1
B11, Trade, 257.700, 163, B11, S03, 1
B11, Trade, 268.283, 163, B11, S01, 1
B11, Trade, 282.017, 165, B11, S07, 1
B11, Trade, 293.450, 166, B11, S00, 1
B12, 8
B12, Trade, 253.600, 166, S09, B12, 1
B12, Trade, 263.883, 167, B12, S03, 1
B12, Trade, 267.433, 167, B12, S02, 1
B12, Trade, 281.700, 169, B12, S05, 1
B12, Trade, 285.750, 168, S08, B12, 1
B12, Trade, 291.750, 170, B12, S05, 1
B12, Trade, 295.783, 171, B12, S02, 1
B12, Trade, 299.850, 171, B12, S05, 1
B13, 2
B13, Trade, 18.250, 143, S12, B13, 1
B13, Trade, 220.400, 160, B13, S01, 1
B14, 44
B14, Trade, 1.700, 134, S10, B14, 1
B14, Trade, 8.250, 149, B14, S09, 1
B14, Trade, 12.200, 148, S08, B14, 1
B14, Trade, 27.900, 151, B14, S11, 1
B14, Trade, 32.350, 144, S04, B14, 1
B14, Trade, 42.067, 147, S04, B14, 1
B14, Trade, 45.150, 152, B14, S05, 1
B14, Trade, 46.800, 153, B14, S00, 1
B14, Trade, 57.917, 151, S10, B14, 1
B14, Trade, 64.500, 143, S08, B14, 1
B14, Trade, 77.433, 156, B14, S00, 1
B14, Trade, 91.467, 157, B14, S03, 1
B14, Trade, 102.617, 158, B14, S06, 1
B14, Trade, 107.750, 158, B14, S06, 1
B14, Trade, 110.700, 156, S09, B14, 1
B14, Trade, 116.617, 159, B14, S03, 1
B14, Trade, 123.300, 160, B14, S01, 1
B14, Trade, 130.283, 157, S10, B14, 1
B14, Trade, 131.883, 157, S12, B14, 1
B14, Trade, 145.617, 162, B14, S01, 1
B14, Trade, 147.217, 161, S04, B14, 1
B14, Trade, 155.083, 163, B14, S09, 1
B14, Trade, 164.000, 164, B14, S01, 1
B14, Trade, 173.517, 165, B14, S11, 1
B14, Trade, 176.267, 165, B14, S05, 1
B14, Trade, 182.983, 166, B14, S01, 1
B14, Trade, 193.150, 167, B14, S06, 1
B14, Trade, 194.267, 167, B14, S12, 1
B14, Trade, 198.817, 166, S09, B14, 1
B14, Trade, 208.183, 166, S09, B14, 1
B14, Trade, 213.367, 161, S10, B14, 1
B14, Trade, 222.667, 164, S04, B14, 1
B14, Trade, 227.317, 171, B14, S00, 1
B14, Trade, 236.500, 171, B14, S01, 1
B14, Trade, 242.400, 172, B14, S10, 1
B14, Trade, 250.717, 173, B14, S06, 1
