B00, 0
B01, 0
B02, 0
B03, 0
B04, 0
B05, 0
B06, 0
B07, 0
B08, 0
B09, 0
B10, 1
B10, Trade, 2.017, 120, S06, B10, 1
B11, 0
B12, 1
B12, Trade, 12.850, 134, B12, S04, 1
B13, 11
B13, Trade, 23.017, 145, B13, S03, 1
B13, Trade, 117.800, 152, B13, S04, 1
B13, Trade, 157.650, 158, B13, S04, 1
B13, Trade, 168.783, 159, B13, S09, 1
B13, Trade, 222.017, 165, B13, S06, 1
B13, Trade, 251.817, 164, B13, S05, 1
B13, Trade, 258.250, 165, B13, S05, 1
B13, Trade, 272.400, 161, B13, S09, 1
B13, Trade, 283.233, 171, B13, S04, 1
B13, Trade, 284.850, 169, B13, S03, 1
B13, Trade, 295.000, 172, B13, S05, 1
B14, 21
B14, Trade, 5.033, 148, B14, S03, 1
B14, Trade, 12.667, 149, B14, S05, 1
B14, Trade, 22.650, 150, B14, S09, 1
B14, Trade, 64.500, 154, B14, S03, 1
B14, Trade, 65.333, 154, B14, S04, 1
B14, Trade, 69.483, 155, B14, S06, 1
B14, Trade, 117.733, 159, B14, S01, 1
B14, Trade, 121.617, 160, B14, S04, 1
B14, Trade, 130.900, 161, B14, S00, 1
B14, Trade, 138.233, 162, B14, S09, 1
B14, Trade, 167.200, 164, B14, S09, 1
B14, Trade, 229.117, 170, B14, S06, 1
B14, Trade, 243.617, 172, B14, S03, 1
B14, Trade, 245.883, 168, S13, B14, 1
B14, Trade, 250.467, 173, B14, S07, 1
B14, Trade, 253.033, 173, S14, B14, 1
B14, Trade, 258.933, 174, S12, B14, 1
B14, Trade, 269.250, 175, B14, S00, 1
B14, Trade, 276.600, 169, S10, B14, 1
B14, Trade, 280.600, 176, B14, S14, 1
B14, Trade, 295.167, 177, B14, S03, 1
B15, 9
B15, Trade, 243.450, 173, S12, B15, 1
B15, Trade, 257.733, 177, B15, S06, 1
B15, Trade, 270.717, 178, B15, S01, 1
B15, Trade, 277.883, 179, S15, B15, 1
B15, Trade, 280.700, 178, S10, B15, 1
B15, Trade, 287.200, 180, B15, S12, 1
B15, Trade, 290.433, 180, B15, S15, 1
B15, Trade, 296.917, 178, S14, B15, 1
B15, Trade, 298.267, 181, B15, S13, 1
B16, 0
B17, 36
B17, Trade, 4.067, 156, B17, S09, 1
B17, Trade, 12.300, 159, B17, S00, 1
B17, Trade, 42.267, 162, B17, S09, 1
B17, Trade, 62.667, 161, B17, S07, 1
B17, Trade, 69.667, 138, B17, S05, 1
B17, Trade, 76.883, 165, B17, S09, 1
B17, Trade, 88.250, 167, B17, S06, 1
B17, Trade, 91.700, 158, B17, S04, 1
B17, Trade, 100.667, 165, B17, S03, 1
B17, Trade, 105.617, 168, B17, S00, 1
B17, Trade, 116.817, 169, B17, S05, 1
B17, Trade, 125.800, 164, S11, B17, 1
B17, Trade, 130.050, 168, B17, S06, 1
B17, Trade, 138.017, 171, B17, S06, 1
B17, Trade, 143.400, 172, B17, S09, 1
B17, Trade, 150.000, 173, B17, S11, 1
B17, Trade, 156.150, 174, B17, S01, 1
B17, Trade, 165.083, 174, B17, S01, 1
B17, Trade, 167.933, 161, B17, S05, 1
B17, Trade, 178.950, 175, B17, S04, 1
B17, Trade, 191.000, 177, B17, S09, 1
B17, Trade, 196.550, 177, B17, S06, 1
B17, Trade, 207.233, 178, B17, S09, 1
B17, Trade, 209.967, 177, B17, S04, 1
B17, Trade, 221.867, 178, B17, S00, 1
B17, Trade, 233.900, 166, B17, S09, 1
B17, Trade, 244.033, 165, B17, S01, 1
B17, Trade, 251.633, 173, B17, S03, 1
B17, Trade, 264.417, 184, B17, S14, 1
B17, Trade, 268.700, 178, B17, S13, 1
B17, Trade, 276.717, 164, B17, S01, 1
B17, Trade, 279.367, 179, B17, S09, 1
B17, Trade, 286.750, 181, B17, S14, 1
B17, Trade, 291.433, 179, B17, S06, 1
B17, Trade, 297.700, 181, B17, S01, 1
B17, Trade, 299.967, 179, B17, S03, 1
B18, 46
B18, Trade, 11.800, 163, B18, S11, 1
B18, Trade, 14.967, 163, S10, B18, 1
B18, Trade, 17.183, 159, S10, B18, 1
B18, Trade, 34.383, 165, B18, S09, 1
B18, Trade, 39.283, 166, B18, S07, 1
B18, Trade, 42.450, 166, B18, S05, 1
B18, Trade, 53.733, 167, B18, S03, 1
B18, Trade, 55.133, 167, B18, S04, 1
B18, Trade, 61.000, 168, B18, S09, 1
B18, Trade, 62.817, 168, S02, B18, 1
B18, Trade, 75.217, 169, B18, S03, 1
B18, Trade, 80.033, 170, B18, S04, 1
B18, Trade, 86.400, 171, B18, S07, 1
B18, Trade, 95.250, 171, B18, S02, 1
B18, Trade, 98.633, 172, B18, S07, 1
B18, Trade, 104.183, 172, B18, S06, 1
B18, Trade, 114.683, 173, B18, S03, 1
B18, Trade, 116.800, 174, B18, S00, 1
B18, Trade, 122.333, 170, S01, B18, 1
B18, Trade, 134.267, 175, B18, S09, 1
B18, Trade, 140.767, 173, S10, B18, 1
B18, Trade, 147.533, 177, B18, S04, 1
B18, Trade, 155.917, 177, B18, S09, 1
B18, Trade, 164.117, 178, B18, S00, 1
B18, Trade, 167.883, 177, S02, B18, 1
B18, Trade, 181.483, 180, B18, S09, 1
B18, Trade, 187.383, 180, B18, S06, 1
B18, Trade, 192.700, 181, B18, S05, 1
B18, Trade, 197.550, 181, B18, S00, 1
B18, Trade, 205.917, 182, B18, S06, 1
B18, Trade, 213.750, 183, B18, S05, 1
B18, Trade, 218.967, 184, B18, S05, 1
B18, Trade, 227.233, 184, B18, S05, 1
B18, Trade, 229.700, 185, S10, B18, 1
B18, Trade, 233.067, 185, B18, S02, 1
B18, Trade, 244.767, 165, S12, B18, 1
B18, Trade, 250.333, 187, B18, S14, 1
B18, Trade, 255.150, 187, B18, S17, 1
B18, Trade, 260.083, 174, S14, B18, 1
B18, Trade, 272.067, 189, B18, S03, 1
B18, Trade, 274.717, 172, S02, B18, 1
B18, Trade, 277.583, 174, S11, B18, 1
B18, Trade, 285.300, 178, S11, B18, 1
B18, Trade, 291.283, 183, S02, B18, 1
B18, Trade, 294.433, 191, B18, S11, 1
B18, Trade, 297.967, 181, S15, B18, 1
B19, 53
B19, Trade, 3.633, 165, B19, S02, 1
B19, Trade, 6.667, 166, S16, B19, 1
B19, Trade, 10.883, 165, S10, B19, 1
B19, Trade, 17.400, 162, S02, B19, 1
B19, Trade, 23.500, 167, S10, B19, 1
B19, Trade, 29.983, 168, B19, S06, 1
B19, Trade, 33.100, 168, B19, S01, 1
B19, Trade, 38.800, 169, S02, B19, 1
B19, Trade, 46.467, 169, B19, S18, 1
B19, Trade, 50.650, 170, B19, S04, 1
B19, Trade, 55.633, 170, B19, S00, 1
B19, Trade, 59.467, 171, B19, S06, 1
B19, Trade, 63.900, 171, B19, S00, 1
B19, Trade, 66.833, 171, S10, B19, 1
B19, Trade, 77.433, 173, B19, S11, 1
B19, Trade, 85.133, 173, S10, B19, 1
B19, Trade, 91.667, 174, S02, B19, 1
B19, Trade, 93.283, 174, B19, S06, 1
B19, Trade, 96.317, 173, S11, B19, 1
B19, Trade, 103.967, 175, S11, B19, 1
B19, Trade, 107.067, 175, S11, B19, 1
B19, Trade, 116.317, 177, B19, S06, 1
B19, Trade, 117.817, 177, S11, B19, 1
B19, Trade, 125.217, 163, S10, B19, 1
B19, Trade, 129.917, 177, S11, B19, 1
B19, Trade, 132.667, 178, B19, S18, 1
B19, Trade, 143.883, 179, B19, S05, 1
B19, Trade, 144.733, 179, B19, S18, 1
B19, Trade, 150.900, 178, S02, B19, 1
B19, Trade, 155.800, 180, B19, S04, 1
B19, Trade, 156.350, 181, B19, S03, 1
B19, Trade, 163.917, 181, B19, S18, 1
B19, Trade, 178.450, 182, B19, S06, 1
B19, Trade, 183.817, 183, B19, S04, 1
B19, Trade, 189.450, 184, B19, S10, 1
B19, Trade, 195.700, 183, S10, B19, 1
B19, Trade, 198.500, 182, S02, B19, 1
B19, Trade, 209.133, 185, S11, B19, 1
B19, Trade, 211.933, 186, S11, B19, 1
B19, Trade, 221.283, 187, B19, S09, 1
B19, Trade, 223.033, 183, S10, B19, 1
B19, Trade, 236.983, 188, B19, S04, 1
B19, Trade, 240.900, 189, B19, S09, 1
B19, Trade, 241.483, 186, S15, B19, 1
B19, Trade, 249.900, 190, S19, B19, 1
B19, Trade, 254.683, 174, S02, B19, 1
B19, Trade, 261.283, 191, S19, B19, 1
B19, Trade, 264.000, 185, S12, B19, 1
B19, Trade, 267.217, 192, S10, B19, 1
B19, Trade, 271.550, 177, S11, B19, 1
B19, Trade, 285.933, 193, B19, S05, 1
B19, Trade, 288.167, 193, S01, B19, 1
B19, Trade, 299.083, 195, S19, B19, 1
B20, 47
B20, Trade, 9.567, 165, B20, S06, 1
B20, Trade, 11.817, 163, B20, S06, 1
B20, Trade, 19.017, 163, B20, S04, 1
B20, Trade, 28.433, 164, S10, B20, 1
