B00, 0
B01, 0
B02, 0
B03, 0
B04, 0
B05, 0
B06, 0
B07, 0
B08, 0
B09, 1
B09, Trade, 2.000, 122, B09, S04, 1
B10, 0
B11, 0
B12, 0
B13, 0
B14, 0
B15, 6
B15, Trade, 258.467, 151, B15, S04, 1
B15, Trade, 265.933, 151, B15, S10, 1
B15, Trade, 273.383, 151, B15, S00, 1
B15, Trade, 283.600, 151, B15, S01, 1
B15, Trade, 291.900, 151, B15, S08, 1
B15, Trade, 299.750, 151, B15, S01, 1
B16, 7
B16, Trade, 247.533, 155, B16, S01, 1
B16, Trade, 251.017, 155, B16, S01, 1
B16, Trade, 261.783, 155, B16, S03, 1
B16, Trade, 268.317, 155, B16, S11, 1
B16, Trade, 270.333, 155, B16, S08, 1
B16, Trade, 279.017, 152, S09, B16, 1
B16, Trade, 296.183, 155, B16, S04, 1
B17, 18
B17, Trade, 42.567, 158, B17, S04, 1
B17, Trade, 69.167, 158, B17, S11, 1
B17, Trade, 134.900, 158, B17, S04, 1
B17, Trade, 146.017, 158, B17, S04, 1
B17, Trade, 166.167, 158, B17, S04, 1
B17, Trade, 171.717, 158, B17, S11, 1
B17, Trade, 243.550, 158, B17, S05, 1
B17, Trade, 248.933, 153, S00, B17, 1
B17, Trade, 252.817, 158, B17, S02, 1
B17, Trade, 259.300, 158, B17, S09, 1
B17, Trade, 266.367, 157, S06, B17, 1
B17, Trade, 271.550, 157, S10, B17, 1
B17, Trade, 276.983, 158, B17, S06, 1
B17, Trade, 283.417, 158, B17, S12, 1
B17, Trade, 284.517, 158, B17, S10, 1
B17, Trade, 291.717, 158, B17, S09, 1
B17, Trade, 294.400, 158, B17, S01, 1
B17, Trade, 299.600, 158, B17, S04, 1
B18, 46
B18, Trade, 2.600, 162, B18, S02, 1
B18, Trade, 7.533, 162, B18, S02, 1
B18, Trade, 10.633, 162, S06, B18, 1
B18, Trade, 22.917, 162, B18, S18, 1
B18, Trade, 25.733, 162, B18, S17, 1
B18, Trade, 35.033, 162, B18, S11, 1
B18, Trade, 38.650, 162, S18, B18, 1
B18, Trade, 54.800, 162, B18, S04, 1
B18, Trade, 60.567, 162, B18, S11, 1
B18, Trade, 68.850, 162, B18, S05, 1
B18, Trade, 73.983, 162, S10, B18, 1
B18, Trade, 84.567, 162, B18, S11, 1
B18, Trade, 91.083, 162, B18, S18, 1
B18, Trade, 96.167, 162, B18, S04, 1
B18, Trade, 99.367, 162, S18, B18, 1
B18, Trade, 107.517, 162, B18, S18, 1
B18, Trade, 117.917, 162, B18, S04, 1
B18, Trade, 124.833, 162, B18, S18, 1
B18, Trade, 131.983, 162, B18, S18, 1
B18, Trade, 136.883, 161, S15, B18, 1
B18, Trade, 145.667, 162, B18, S18, 1
B18, Trade, 147.900, 162, B18, S10, 1
B18, Trade, 155.000, 162, B18, S07, 1
B18, Trade, 159.150, 162, S02, B18, 1
B18, Trade, 164.267, 162, S02, B18, 1
B18, Trade, 169.267, 157, S15, B18, 1
B18, Trade, 178.417, 162, B18, S07, 1
B18, Trade, 183.917, 162, B18, S04, 1
B18, Trade, 203.417, 162, B18, S15, 1
B18, Trade, 208.750, 161, S10, B18, 1
