B00, 0
B01, 0
B02, 0
B03, 0
B04, 0
B05, 0
B06, 0
B07, 0
B08, 0
B09, 0
B10, 0
B11, 3
B11, Trade, 190.183, 136, B11, S08, 1
B11, Trade, 291.900, 136, B11, S00, 1
B11, Trade, 294.900, 136, B11, S08, 1
B12, 1
B12, Trade, 292.617, 141, B12, S02, 1
B13, 12
B13, Trade, 56.583, 143, B13, S01, 1
B13, Trade, 108.400, 143, B13, S07, 1
B13, Trade, 138.233, 143, B13, S07, 1
B13, Trade, 160.383, 143, B13, S07, 1
B13, Trade, 198.667, 143, B13, S03, 1
B13, Trade, 245.433, 143, B13, S03, 1
B13, Trade, 250.300, 143, B13, S03, 1
B13, Trade, 260.617, 143, B13, S02, 1
B13, Trade, 265.150, 143, B13, S07, 1
B13, Trade, 276.117, 143, B13, S03, 1
B13, Trade, 282.833, 143, B13, S00, 1
B13, Trade, 291.617, 143, B13, S07, 1
B14, 24
B14, Trade, 23.383, 148, B14, S03, 1
B14, Trade, 39.683, 148, B14, S06, 1
B14, Trade, 45.033, 148, B14, S07, 1
B14, Trade, 50.283, 148, B14, S03, 1
B14, Trade, 56.567, 148, B14, S07, 1
B14, Trade, 128.550, 148, B14, S06, 1
B14, Trade, 136.917, 148, B14, S03, 1
B14, Trade, 171.033, 148, B14, S10, 1
B14, Trade, 176.283, 148, B14, S03, 1
B14, Trade, 179.950, 148, B14, S08, 1
B14, Trade, 188.867, 148, B14, S03, 1
B14, Trade, 192.700, 147, S04, B14, 1
B14, Trade, 198.483, 148, B14, S06, 1
B14, Trade, 218.933, 148, B14, S08, 1
B14, Trade, 241.250, 148, B14, S08, 1
B14, Trade, 250.183, 148, B14, S07, 1
B14, Trade, 260.000, 148, B14, S01, 1
B14, Trade, 262.033, 148, B14, S08, 1
B14, Trade, 266.250, 148, B14, S02, 1
B14, Trade, 271.667, 148, B14, S02, 1
B14, Trade, 275.733, 148, B14, S01, 1
B14, Trade, 282.350, 147, S04, B14, 1
B14, Trade, 292.100, 147, S04, B14, 1
B14, Trade, 296.650, 148, B14, S00, 1
B15, 0
B16, 43
B16, Trade, 6.967, 155, B16, S15, 1
B16, Trade, 14.250, 155, B16, S01, 1
B16, Trade, 19.467, 150, B16, S08, 1
B16, Trade, 22.717, 150, B16, S07, 1
B16, Trade, 36.383, 155, B16, S07, 1
B16, Trade, 38.283, 152, B16, S03, 1
B16, Trade, 41.733, 152, B16, S08, 1
B16, Trade, 54.817, 154, S11, B16, 1
B16, Trade, 66.350, 155, B16, S07, 1
B16, Trade, 76.550, 149, B16, S03, 1
B16, Trade, 81.683, 155, B16, S03, 1
B16, Trade, 82.950, 152, B16, S08, 1
B16, Trade, 91.417, 151, B16, S07, 1
B16, Trade, 97.350, 150, B16, S04, 1
B16, Trade, 105.000, 152, S04, B16, 1
B16, Trade, 110.450, 155, B16, S04, 1
B16, Trade, 122.900, 149, B16, S07, 1
B16, Trade, 134.750, 151, B16, S07, 1
B16, Trade, 139.033, 154, S09, B16, 1
B16, Trade, 141.833, 155, B16, S07, 1
B16, Trade, 148.833, 153, S11, B16, 1
B16, Trade, 157.600, 155, B16, S03, 1
B16, Trade, 164.950, 155, B16, S07, 1
B16, Trade, 167.133, 155, S12, B16, 1
B16, Trade, 177.250, 151, B16, S08, 1
B16, Trade, 182.450, 151, B16, S03, 1
B16, Trade, 188.017, 155, B16, S07, 1
B16, Trade, 194.983, 147, B16, S03, 1
B16, Trade, 201.183, 142, B16, S06, 1
B16, Trade, 203.500, 153, B16, S03, 1
B16, Trade, 210.800, 155, B16, S03, 1
B16, Trade, 220.867, 151, B16, S01, 1
B16, Trade, 229.800, 155, B16, S01, 1
B16, Trade, 238.483, 155, S09, B16, 1
B16, Trade, 248.067, 151, S02, B16, 1
B16, Trade, 252.750, 155, B16, S07, 1
B16, Trade, 256.517, 149, B16, S05, 1
B16, Trade, 261.900, 149, B16, S03, 1
B16, Trade, 269.117, 150, B16, S08, 1
B16, Trade, 280.350, 145, S00, B16, 1
B16, Trade, 289.800, 155, B16, S05, 1
B16, Trade, 296.167, 136, B16, S07, 1
B16, Trade, 298.233, 142, B16, S00, 1
B17, 48
B17, Trade, 12.017, 156, B17, S07, 1
B17, Trade, 20.600, 151, S12, B17, 1
B17, Trade, 24.850, 154, S15, B17, 1
B17, Trade, 33.800, 157, B17, S10, 1
B17, Trade, 37.850, 158, S17, B17, 1
B17, Trade, 44.050, 156, S15, B17, 1
B17, Trade, 49.783, 156, S11, B17, 1
B17, Trade, 51.267, 154, S12, B17, 1
B17, Trade, 58.883, 155, S09, B17, 1
B17, Trade, 68.533, 157, B17, S07, 1
B17, Trade, 74.250, 158, B17, S17, 1
B17, Trade, 80.633, 156, B17, S09, 1
B17, Trade, 86.283, 155, B17, S04, 1
B17, Trade, 93.133, 153, S15, B17, 1
B17, Trade, 100.600, 153, B17, S03, 1
B17, Trade, 105.100, 151, B17, S07, 1
B17, Trade, 108.133, 152, S11, B17, 1
B17, Trade, 120.517, 157, S04, B17, 1
B17, Trade, 122.983, 157, S12, B17, 1
B17, Trade, 129.933, 155, S09, B17, 1
B17, Trade, 133.683, 154, B17, S06, 1
B17, Trade, 135.967, 154, S15, B17, 1
B17, Trade, 146.500, 151, S11, B17, 1
B17, Trade, 148.267, 152, S15, B17, 1
B17, Trade, 153.733, 158, B17, S03, 1
B17, Trade, 159.967, 157, B17, S06, 1
B17, Trade, 170.933, 155, B17, S13, 1
B17, Trade, 176.983, 156, S11, B17, 1
B17, Trade, 179.350, 150, S09, B17, 1
B17, Trade, 184.567, 158, B17, S03, 1
B17, Trade, 192.633, 147, S12, B17, 1
B17, Trade, 194.033, 148, S09, B17, 1
B17, Trade, 199.883, 157, S04, B17, 1
B17, Trade, 210.250, 158, B17, S01, 1
B17, Trade, 222.083, 157, B17, S07, 1
B17, Trade, 227.117, 155, S04, B17, 1
B17, Trade, 228.650, 158, B17, S09, 1
B17, Trade, 234.083, 150, S13, B17, 1
B17, Trade, 241.400, 143, B17, S03, 1
B17, Trade, 243.033, 158, B17, S17, 1
B17, Trade, 255.417, 158, B17, S17, 1
B17, Trade, 257.100, 154, S06, B17, 1
B17, Trade, 266.983, 153, B17, S07, 1
B17, Trade, 270.767, 150, S13, B17, 1
B17, Trade, 275.017, 155, S15, B17, 1
B17, Trade, 284.100, 156, B17, S11, 1
B17, Trade, 292.850, 147, S13, B17, 1
B17, Trade, 295.017, 146, S12, B17, 1
B18, 58
B18, Trade, 5.467, 162, B18, S03, 1
B18, Trade, 8.500, 160, S04, B18, 1
B18, Trade, 11.933, 158, S17, B18, 1
B18, Trade, 17.817, 152, S11, B18, 1
B18, Trade, 23.467, 155, S04, B18, 1
B18, Trade, 32.967, 162, S18, B18, 1
B18, Trade, 34.200, 160, S15, B18, 1
B18, Trade, 39.550, 157, S13, B18, 1
B18, Trade, 42.017, 158, S17, B18, 1
B18, Trade, 49.733, 155, S13, B18, 1
B18, Trade, 54.433, 152, S15, B18, 1
B18, Trade, 60.050, 154, S15, B18, 1
B18, Trade, 61.500, 162, S18, B18, 1
B18, Trade, 72.133, 158, S08, B18, 1
B18, Trade, 80.450, 157, S04, B18, 1
B18, Trade, 81.700, 158, S15, B18, 1
B18, Trade, 90.250, 158, S09, B18, 1
B18, Trade, 92.217, 153, S13, B18, 1
B18, Trade, 97.417, 151, S11, B18, 1
B18, Trade, 105.833, 153, S12, B18, 1
B18, Trade, 109.267, 153, S09, B18, 1
B18, Trade, 115.617, 162, B18, S07, 1
B18, Trade, 120.550, 158, S17, B18, 1
B18, Trade, 124.867, 157, S11, B18, 1
B18, Trade, 130.817, 154, S15, B18, 1
B18, Trade, 133.983, 155, S11, B18, 1
B18, Trade, 137.767, 158, S17, B18, 1
B18, Trade, 145.950, 151, S04, B18, 1
B18, Trade, 151.300, 162, B18, S08, 1
B18, Trade, 157.567, 159, S12, B18, 1
B18, Trade, 159.550, 158, S17, B18, 1
B18, Trade, 168.567, 153, S11, B18, 1
B18, Trade, 175.583, 162, B18, S17, 1
B18, Trade, 181.367, 158, S17, B18, 1
B18, Trade, 186.033, 158, S17, B18, 1
B18, Trade, 186.750, 158, S11, B18, 1
B18, Trade, 193.350, 147, S12, B18, 1
B18, Trade, 201.017, 153, S10, B18, 1
B18, Trade, 205.783, 162, S18, B18, 1
B18, Trade, 208.450, 162, B18, S13, 1
B18, Trade, 215.633, 156, S09, B18, 1
B18, Trade, 221.067, 152, S15, B18, 1
B18, Trade, 227.517, 155, S11, B18, 1
B18, Trade, 231.117, 158, S17, B18, 1
B18, Trade, 235.950, 153, S12, B18, 1
B18, Trade, 240.017, 162, S18, B18, 1
B18, Trade, 246.617, 152, S11, B18, 1
B18, Trade, 249.850, 151, S09, B18, 1
B18, Trade, 252.433, 162, S18, B18, 1
B18, Trade, 261.117, 151, S11, B18, 1
B18, Trade, 264.617, 162, B18, S09, 1
B18, Trade, 271.183, 151, S15, B18, 1
B18, Trade, 276.667, 148, S08, B18, 1
B18, Trade, 282.967, 153, S13, B18, 1
B18, Trade, 283.283, 162, B18, S12, 1
B18, Trade, 288.117, 162, S18, B18, 1
B18, Trade, 295.883, 157, S15, B18, 1
B18, Trade, 297.683, 154, S13, B18, 1
B19, 41
