B00, 0
B01, 0
B02, 0
B03, 0
B04, 0
B05, 0
B06, 0
B07, 0
B08, 0
B09, 0
B10, 2
B10, Trade, 32.250, 134, B10, S08, 1
B10, Trade, 299.233, 134, B10, S09, 1
B11, 5
B11, Trade, 16.383, 137, B11, S10, 1
B11, Trade, 145.533, 137, B11, S00, 1
B11, Trade, 238.300, 137, B11, S08, 1
B11, Trade, 284.017, 137, B11, S08, 1
B11, Trade, 299.200, 137, B11, S08, 1
B12, 3
B12, Trade, 249.317, 141, B12, S10, 1
B12, Trade, 283.983, 141, B12, S04, 1
B12, Trade, 298.267, 141, B12, S04, 1
B13, 1
B13, Trade, 62.417, 140, B13, S08, 1
B14, 21
B14, Trade, 2.900, 132, S03, B14, 1
B14, Trade, 13.017, 148, B14, S10, 1
B14, Trade, 15.417, 148, B14, S07, 1
B14, Trade, 32.050, 148, B14, S00, 1
B14, Trade, 44.083, 148, B14, S10, 1
B14, Trade, 61.200, 148, B14, S05, 1
B14, Trade, 107.267, 148, B14, S05, 1
B14, Trade, 122.917, 148, B14, S10, 1
B14, Trade, 126.267, 148, B14, S01, 1
B14, Trade, 145.500, 148, B14, S07, 1
B14, Trade, 153.450, 148, B14, S10, 1
B14, Trade, 155.117, 148, B14, S08, 1
B14, Trade, 161.400, 148, B14, S10, 1
B14, Trade, 187.800, 148, B14, S05, 1
B14, Trade, 233.017, 148, B14, S01, 1
B14, Trade, 237.867, 148, B14, S10, 1
B14, Trade, 249.250, 148, B14, S00, 1
B14, Trade, 256.767, 148, B14, S00, 1
B14, Trade, 277.150, 148, B14, S10, 1
B14, Trade, 283.283, 148, B14, S05, 1
B14, Trade, 296.683, 148, B14, S02, 1
B15, 7
B15, Trade, 243.467, 151, B15, S02, 1
B15, Trade, 249.083, 151, B15, S05, 1
B15, Trade, 256.567, 151, B15, S03, 1
B15, Trade, 262.883, 151, B15, S10, 1
B15, Trade, 282.050, 151, B15, S08, 1
B15, Trade, 284.833, 150, S03, B15, 1
B15, Trade, 296.617, 151, B15, S09, 1
B16, 37
B16, Trade, 9.183, 152, S14, B16, 1
B16, Trade, 21.467, 155, B16, S00, 1
B16, Trade, 30.600, 155, B16, S10, 1
B16, Trade, 36.183, 155, B16, S00, 1
B16, Trade, 37.833, 155, B16, S01, 1
B16, Trade, 45.617, 143, B16, S00, 1
B16, Trade, 48.617, 154, B16, S10, 1
B16, Trade, 60.783, 155, B16, S13, 1
B16, Trade, 65.250, 155, S14, B16, 1
B16, Trade, 68.133, 155, S06, B16, 1
B16, Trade, 86.750, 151, B16, S08, 1
B16, Trade, 104.950, 155, B16, S08, 1
B16, Trade, 119.783, 155, B16, S10, 1
B16, Trade, 125.800, 151, B16, S08, 1
B16, Trade, 133.100, 155, B16, S00, 1
B16, Trade, 145.367, 155, B16, S05, 1
B16, Trade, 151.617, 151, B16, S01, 1
B16, Trade, 160.200, 155, B16, S05, 1
B16, Trade, 176.433, 155, B16, S10, 1
B16, Trade, 183.050, 149, B16, S00, 1
B16, Trade, 191.200, 155, B16, S00, 1
B16, Trade, 203.483, 155, B16, S08, 1
B16, Trade, 209.983, 155, B16, S00, 1
B16, Trade, 215.350, 155, B16, S10, 1
B16, Trade, 217.183, 155, B16, S08, 1
B16, Trade, 230.717, 155, B16, S08, 1
B16, Trade, 242.233, 153, B16, S04, 1
B16, Trade, 247.967, 155, B16, S07, 1
B16, Trade, 253.383, 155, S06, B16, 1
B16, Trade, 256.967, 144, B16, S08, 1
B16, Trade, 259.833, 152, B16, S02, 1
B16, Trade, 273.083, 155, B16, S08, 1
B16, Trade, 274.850, 154, B16, S07, 1
B16, Trade, 280.700, 152, B16, S01, 1
B16, Trade, 284.967, 142, B16, S07, 1
B16, Trade, 294.050, 155, B16, S08, 1
B16, Trade, 298.183, 149, B16, S05, 1
B17, 50
B17, Trade, 5.050, 138, B17, S01, 1
B17, Trade, 8.717, 151, B17, S01, 1
B17, Trade, 13.633, 135, B17, S05, 1
B17, Trade, 19.550, 158, B17, S00, 1
B17, Trade, 24.100, 158, B17, S01, 1
B17, Trade, 31.683, 150, B17, S12, 1
B17, Trade, 36.483, 158, S17, B17, 1
B17, Trade, 43.483, 158, B17, S12, 1
B17, Trade, 51.167, 158, B17, S14, 1
B17, Trade, 55.817, 158, B17, S08, 1
B17, Trade, 66.650, 156, S14, B17, 1
B17, Trade, 69.250, 157, S16, B17, 1
B17, Trade, 75.000, 158, B17, S07, 1
B17, Trade, 78.383, 158, B17, S16, 1
B17, Trade, 84.617, 158, B17, S10, 1
B17, Trade, 91.483, 156, B17, S01, 1
B17, Trade, 96.000, 158, B17, S08, 1
B17, Trade, 103.217, 158, B17, S05, 1
B17, Trade, 106.450, 151, B17, S13, 1
B17, Trade, 114.250, 158, B17, S10, 1
B17, Trade, 119.683, 158, B17, S00, 1
B17, Trade, 130.600, 154, B17, S05, 1
B17, Trade, 131.583, 154, B17, S10, 1
B17, Trade, 138.733, 155, B17, S02, 1
B17, Trade, 145.250, 158, B17, S08, 1
B17, Trade, 148.250, 151, B17, S02, 1
B17, Trade, 154.817, 148, B17, S02, 1
B17, Trade, 159.117, 158, B17, S12, 1
B17, Trade, 169.700, 158, B17, S01, 1
B17, Trade, 171.967, 158, B17, S02, 1
B17, Trade, 176.150, 157, B17, S05, 1
B17, Trade, 178.800, 158, B17, S00, 1
B17, Trade, 188.650, 157, B17, S12, 1
B17, Trade, 195.267, 158, B17, S02, 1
B17, Trade, 200.383, 158, B17, S10, 1
B17, Trade, 206.567, 158, B17, S01, 1
B17, Trade, 212.850, 158, B17, S08, 1
B17, Trade, 219.033, 149, B17, S05, 1
B17, Trade, 228.417, 158, B17, S07, 1
B17, Trade, 241.700, 152, B17, S09, 1
B17, Trade, 243.017, 154, S06, B17, 1
B17, Trade, 253.767, 154, B17, S01, 1
B17, Trade, 256.750, 149, B17, S10, 1
B17, Trade, 259.417, 151, B17, S05, 1
B17, Trade, 272.833, 158, B17, S05, 1
B17, Trade, 274.067, 154, B17, S00, 1
B17, Trade, 279.517, 148, B17, S00, 1
B17, Trade, 286.317, 158, B17, S01, 1
B17, Trade, 288.683, 158, B17, S10, 1
B17, Trade, 295.417, 158, B17, S04, 1
B18, 47
B18, Trade, 5.367, 139, B18, S08, 1
B18, Trade, 12.283, 149, B18, S00, 1
B18, Trade, 15.033, 145, B18, S08, 1
B18, Trade, 18.817, 159, S14, B18, 1
B18, Trade, 26.533, 159, B18, S10, 1
B18, Trade, 28.383, 160, B18, S05, 1
B18, Trade, 42.900, 161, B18, S05, 1
B18, Trade, 46.233, 154, B18, S08, 1
B18, Trade, 47.883, 153, B18, S05, 1
B18, Trade, 55.000, 158, B18, S00, 1
B18, Trade, 60.367, 159, B18, S05, 1
B18, Trade, 71.817, 161, B18, S00, 1
B18, Trade, 77.400, 159, B18, S03, 1
B18, Trade, 81.033, 155, B18, S14, 1
B18, Trade, 84.317, 161, B18, S07, 1
B18, Trade, 88.167, 154, S06, B18, 1
B18, Trade, 96.150, 156, B18, S05, 1
B18, Trade, 102.517, 160, B18, S10, 1
B18, Trade, 105.233, 150, S13, B18, 1
B18, Trade, 116.817, 157, B18, S05, 1
B18, Trade, 120.333, 156, S12, B18, 1
B18, Trade, 123.583, 154, B18, S07, 1
B18, Trade, 134.700, 159, B18, S17, 1
B18, Trade, 144.267, 158, B18, S16, 1
B18, Trade, 152.900, 148, B18, S05, 1
B18, Trade, 162.667, 161, B18, S00, 1
B18, Trade, 167.583, 160, B18, S10, 1
B18, Trade, 168.033, 161, B18, S08, 1
B18, Trade, 180.833, 161, B18, S01, 1
B18, Trade, 184.683, 157, B18, S06, 1
B18, Trade, 193.833, 160, B18, S05, 1
B18, Trade, 195.717, 157, B18, S00, 1
B18, Trade, 202.933, 155, B18, S05, 1
B18, Trade, 207.350, 156, B18, S05, 1
B18, Trade, 215.783, 157, B18, S06, 1
B18, Trade, 227.250, 161, B18, S10, 1
B18, Trade, 229.583, 161, B18, S05, 1
B18, Trade, 236.733, 150, B18, S00, 1
B18, Trade, 247.033, 158, B18, S12, 1
B18, Trade, 258.733, 151, B18, S10, 1
B18, Trade, 261.317, 161, B18, S04, 1
B18, Trade, 269.917, 161, B18, S10, 1
B18, Trade, 274.533, 155, B18, S15, 1
B18, Trade, 283.717, 145, S02, B18, 1
B18, Trade, 288.000, 159, B18, S01, 1
B18, Trade, 293.767, 160, B18, S00, 1
B18, Trade, 299.133, 150, B18, S03, 1
B19, 52
B19, Trade, 2.267, 100, S00, B19, 1
B19, Trade, 11.183, 154, S03, B19, 1
B19, Trade, 21.717, 165, B19, S08, 1
B19, Trade, 26.017, 162, S17, B19, 1
B19, Trade, 34.917, 157, S16, B19, 1
B19, Trade, 39.483, 165, B19, S16, 1
B19, Trade, 42.183, 165, B19, S17, 1
B19, Trade, 49.750, 158, S14, B19, 1
B19, Trade, 56.200, 162, S17, B19, 1
B19, Trade, 65.483, 154, S06, B19, 1
B19, Trade, 70.317, 165, B19, S00, 1
B19, Trade, 74.150, 165, B19, S12, 1
B19, Trade, 77.133, 161, S06, B19, 1
B19, Trade, 82.433, 165, B19, S01, 1
B19, Trade, 89.467, 165, B19, S10, 1
B19, Trade, 96.200, 162, S14, B19, 1
B19, Trade, 101.283, 165, B19, S02, 1
B19, Trade, 104.717, 165, B19, S07, 1
B19, Trade, 109.900, 165, B19, S00, 1
B19, Trade, 115.283, 161, S03, B19, 1
B19, Trade, 118.517, 165, B19, S08, 1
B19, Trade, 126.583, 157, S06, B19, 1
B19, Trade, 130.883, 155, S03, B19, 1
B19, Trade, 136.767, 156, S06, B19, 1
B19, Trade, 139.200, 165, B19, S12, 1
B19, Trade, 143.450, 159, S17, B19, 1
B19, Trade, 150.167, 154, S03, B19, 1
B19, Trade, 156.617, 165, S16, B19, 1
B19, Trade, 169.633, 165, B19, S02, 1
B19, Trade, 174.233, 160, S17, B19, 1
B19, Trade, 180.733, 165, B19, S05, 1
B19, Trade, 186.933, 162, S14, B19, 1
B19, Trade, 187.450, 165, S03, B19, 1
B19, Trade, 195.633, 159, S17, B19, 1
B19, Trade, 203.450, 157, S06, B19, 1
B19, Trade, 209.550, 158, S17, B19, 1
B19, Trade, 214.617, 159, S16, B19, 1
B19, Trade, 225.283, 165, B19, S16, 1
B19, Trade, 230.167, 162, S06, B19, 1
B19, Trade, 235.000, 155, S16, B19, 1
B19, Trade, 238.967, 157, S16, B19, 1
B19, Trade, 244.050, 165, B19, S08, 1
B19, Trade, 250.317, 156, S15, B19, 1
B19, Trade, 256.333, 150, S09, B19, 1
B19, Trade, 259.133, 153, S09, B19, 1
B19, Trade, 266.883, 165, B19, S04, 1
B19, Trade, 269.733, 165, B19, S11, 1
B19, Trade, 275.900, 160, S03, B19, 1
B19, Trade, 281.033, 158, S14, B19, 1
B19, Trade, 284.050, 151, S15, B19, 1
B19, Trade, 293.100, 165, B19, S15, 1
B19, Trade, 293.517, 165, B19, S10, 1
B20, 59
B20, Trade, 4.267, 160, S07, B20, 1
B20, Trade, 10.233, 155, S16, B20, 1
B20, Trade, 10.833, 154, S06, B20, 1
B20, Trade, 18.767, 163, S03, B20, 1
B20, Trade, 24.533, 161, S16, B20, 1
B20, Trade, 27.067, 168, B20, S03, 1
B20, Trade, 31.400, 159, S16, B20, 1
B20, Trade, 39.300, 168, B20, S02, 1
B20, Trade, 46.267, 159, S06, B20, 1
B20, Trade, 47.683, 159, S03, B20, 1
B20, Trade, 54.867, 165, S06, B20, 1
B20, Trade, 59.367, 168, B20, S00, 1
B20, Trade, 65.667, 155, S16, B20, 1
B20, Trade, 69.400, 158, S03, B20, 1
B20, Trade, 73.867, 168, B20, S10, 1
B20, Trade, 80.783, 158, S17, B20, 1
B20, Trade, 83.767, 168, B20, S14, 1
B20, Trade, 87.200, 156, S03, B20, 1
B20, Trade, 92.633, 161, S17, B20, 1
B20, Trade, 100.083, 168, B20, S08, 1
B20, Trade, 106.117, 164, S16, B20, 1
B20, Trade, 109.267, 168, B20, S10, 1
B20, Trade, 116.583, 162, S14, B20, 1
B20, Trade, 117.933, 168, S03, B20, 1
B20, Trade, 122.700, 168, S17, B20, 1
B20, Trade, 130.150, 155, S06, B20, 1
B20, Trade, 132.850, 168, B20, S05, 1
B20, Trade, 139.733, 168, B20, S03, 1
B20, Trade, 144.350, 159, S14, B20, 1
B20, Trade, 149.267, 154, S06, B20, 1
B20, Trade, 158.617, 166, S16, B20, 1
B20, Trade, 161.983, 168, B20, S02, 1
B20, Trade, 167.417, 168, B20, S06, 1
B20, Trade, 168.717, 168, B20, S10, 1
B20, Trade, 175.767, 159, S06, B20, 1
B20, Trade, 179.983, 168, B20, S08, 1
B20, Trade, 186.017, 168, B20, S08, 1
B20, Trade, 191.883, 164, S14, B20, 1
B20, Trade, 196.200, 160, S17, B20, 1
B20, Trade, 197.500, 160, S16, B20, 1
B20, Trade, 202.700, 158, S14, B20, 1
B20, Trade, 210.167, 159, S03, B20, 1
B20, Trade, 212.767, 168, B20, S10, 1
B20, Trade, 221.667, 168, B20, S10, 1
B20, Trade, 225.983, 166, S17, B20, 1
B20, Trade, 227.700, 165, S18, B20, 1
