B00, 0
B01, 0
B02, 0
B03, 0
B04, 0
B05, 0
B06, 0
B07, 1
B07, Trade, 1.350, 111, S00, B07, 1
B08, 0
B09, 3
B09, Trade, 158.717, 131, B09, S09, 1
B09, Trade, 248.267, 131, B09, S09, 1
B09, Trade, 270.700, 131, B09, S09, 1
B10, 4
B10, Trade, 151.417, 133, B10, S09, 1
B10, Trade, 158.533, 132, B10, S01, 1
B10, Trade, 221.233, 133, B10, S07, 1
B10, Trade, 246.917, 133, B10, S09, 1
B11, 16
B11, Trade, 14.417, 137, B11, S07, 1
B11, Trade, 45.583, 137, B11, S09, 1
B11, Trade, 58.133, 137, B11, S01, 1
B11, Trade, 145.983, 137, B11, S07, 1
B11, Trade, 155.717, 137, B11, S09, 1
B11, Trade, 173.383, 137, B11, S07, 1
B11, Trade, 207.233, 137, B11, S03, 1
B11, Trade, 214.383, 137, B11, S09, 1
B11, Trade, 220.900, 137, B11, S01, 1
B11, Trade, 248.167, 132, B11, S01, 1
B11, Trade, 259.333, 137, B11, S09, 1
B11, Trade, 270.667, 137, B11, S01, 1
B11, Trade, 282.250, 137, B11, S03, 1
B11, Trade, 285.217, 137, B11, S07, 1
B11, Trade, 293.000, 137, B11, S09, 1
B11, Trade, 294.700, 133, B11, S01, 1
B12, 1
B12, Trade, 293.350, 133, B12, S02, 1
B13, 0
B14, 0
B15, 32
B15, Trade, 3.133, 151, B15, S03, 1
B15, Trade, 12.333, 151, B15, S01, 1
B15, Trade, 47.283, 151, B15, S14, 1
B15, Trade, 57.367, 151, B15, S00, 1
B15, Trade, 69.000, 151, B15, S01, 1
B15, Trade, 86.867, 151, B15, S09, 1
B15, Trade, 94.150, 151, B15, S07, 1
B15, Trade, 97.083, 151, B15, S01, 1
B15, Trade, 117.650, 151, B15, S03, 1
B15, Trade, 118.617, 151, B15, S05, 1
B15, Trade, 133.133, 151, B15, S03, 1
B15, Trade, 137.633, 151, B15, S03, 1
B15, Trade, 148.900, 151, B15, S07, 1
B15, Trade, 151.467, 147, S05, B15, 1
B15, Trade, 157.683, 151, B15, S07, 1
B15, Trade, 168.283, 151, B15, S00, 1
B15, Trade, 173.150, 151, B15, S09, 1
B15, Trade, 213.767, 151, B15, S05, 1
B15, Trade, 217.433, 151, B15, S06, 1
B15, Trade, 222.567, 151, B15, S09, 1
B15, Trade, 224.783, 151, B15, S07, 1
B15, Trade, 229.683, 151, S08, B15, 1
B15, Trade, 242.717, 151, B15, S07, 1
B15, Trade, 249.517, 129, S05, B15, 1
B15, Trade, 252.050, 142, S08, B15, 1
B15, Trade, 258.483, 151, B15, S00, 1
B15, Trade, 268.133, 151, B15, S14, 1
B15, Trade, 277.600, 147, S05, B15, 1
B15, Trade, 281.200, 151, B15, S04, 1
B15, Trade, 286.567, 148, S08, B15, 1
B15, Trade, 290.650, 140, S05, B15, 1
B15, Trade, 294.600, 137, S11, B15, 1
B16, 52
B16, Trade, 2.383, 133, B16, S07, 1
B16, Trade, 8.550, 152, B16, S09, 1
B16, Trade, 14.300, 146, B16, S01, 1
B16, Trade, 16.450, 136, B16, S07, 1
B16, Trade, 26.350, 155, B16, S01, 1
B16, Trade, 30.050, 154, B16, S09, 1
B16, Trade, 34.600, 154, B16, S00, 1
B16, Trade, 38.567, 155, B16, S07, 1
B16, Trade, 42.217, 153, B16, S09, 1
B16, Trade, 56.817, 155, B16, S09, 1
B16, Trade, 58.533, 134, B16, S07, 1
B16, Trade, 68.900, 155, B16, S00, 1
B16, Trade, 71.867, 155, B16, S07, 1
B16, Trade, 80.117, 155, B16, S03, 1
B16, Trade, 84.900, 152, B16, S03, 1
B16, Trade, 86.700, 153, S14, B16, 1
B16, Trade, 95.567, 140, B16, S00, 1
B16, Trade, 99.950, 138, B16, S09, 1
B16, Trade, 106.550, 151, B16, S07, 1
B16, Trade, 110.250, 152, B16, S03, 1
B16, Trade, 114.967, 154, B16, S03, 1
B16, Trade, 121.517, 149, B16, S00, 1
B16, Trade, 124.233, 150, B16, S03, 1
B16, Trade, 129.867, 154, B16, S01, 1
B16, Trade, 135.900, 152, B16, S09, 1
B16, Trade, 140.100, 146, B16, S09, 1
B16, Trade, 143.867, 155, B16, S09, 1
B16, Trade, 154.567, 155, B16, S07, 1
B16, Trade, 156.633, 141, B16, S00, 1
B16, Trade, 161.733, 147, B16, S01, 1
B16, Trade, 163.517, 151, B16, S03, 1
B16, Trade, 172.867, 155, B16, S03, 1
B16, Trade, 185.167, 154, B16, S03, 1
B16, Trade, 193.917, 155, B16, S01, 1
B16, Trade, 201.433, 155, B16, S09, 1
B16, Trade, 204.317, 155, B16, S07, 1
