B00, 1
B00, Trade, 123.950, 196, S00, B00, 1
B01, 0
B02, 0
B03, 0
B04, 0
B05, 1
B05, Trade, 122.950, 177, S19, B05, 1
B06, 1
B06, Trade, 183.733, 320, B06, S28, 1
B07, 1
B07, Trade, 122.733, 166, S05, B07, 1
B08, 0
B09, 0
B10, 7
B10, Trade, 44.450, 133, B10, S04, 1
B10, Trade, 63.350, 139, B10, S08, 1
B10, Trade, 121.517, 163, S11, B10, 1
B10, Trade, 133.850, 331, B10, S08, 1
B10, Trade, 152.183, 332, B10, S01, 1
B10, Trade, 210.733, 154, B10, S01, 1
B10, Trade, 288.600, 161, B10, S01, 1
B11, 9
B11, Trade, 43.817, 141, B11, S01, 1
B11, Trade, 115.117, 148, B11, S01, 1
B11, Trade, 124.867, 321, S06, B11, 1
B11, Trade, 152.350, 332, B11, S04, 1
B11, Trade, 203.700, 151, B11, S03, 1
B11, Trade, 206.000, 157, B11, S11, 1
B11, Trade, 218.533, 158, B11, S08, 1
B11, Trade, 237.050, 157, B11, S08, 1
B11, Trade, 282.500, 165, B11, S06, 1
B12, 15
B12, Trade, 1.817, 141, B12, S05, 1
B12, Trade, 16.850, 142, B12, S08, 1
B12, Trade, 62.633, 147, B12, S06, 1
B12, Trade, 82.983, 149, B12, S01, 1
B12, Trade, 93.350, 150, B12, S04, 1
B12, Trade, 114.633, 152, B12, S04, 1
B12, Trade, 122.217, 164, S02, B12, 1
B12, Trade, 129.167, 341, B12, S08, 1
B12, Trade, 169.050, 341, B12, S00, 1
B12, Trade, 176.733, 341, B12, S08, 1
B12, Trade, 180.000, 341, B12, S00, 1
B12, Trade, 203.767, 161, B12, S04, 1
B12, Trade, 211.250, 162, B12, S10, 1
B12, Trade, 235.683, 164, B12, S07, 1
B12, Trade, 291.617, 170, B12, S04, 1
B13, 30
B13, Trade, 16.183, 145, B13, S00, 1
B13, Trade, 32.450, 147, B13, S04, 1
B13, Trade, 40.300, 148, B13, S08, 1
B13, Trade, 57.733, 150, B13, S01, 1
B13, Trade, 59.767, 150, B13, S00, 1
B13, Trade, 66.217, 150, B13, S01, 1
B13, Trade, 80.233, 152, B13, S04, 1
B13, Trade, 86.433, 152, B13, S06, 1
B13, Trade, 92.250, 153, B13, S05, 1
B13, Trade, 96.450, 153, B13, S13, 1
B13, Trade, 107.317, 154, B13, S04, 1
B13, Trade, 108.917, 155, S11, B13, 1
B13, Trade, 117.783, 156, B13, S04, 1
B13, Trade, 124.150, 256, S20, B13, 1
B13, Trade, 135.433, 340, S05, B13, 1
B13, Trade, 140.500, 344, B13, S04, 1
B13, Trade, 159.100, 344, B13, S06, 1
B13, Trade, 162.100, 344, B13, S03, 1
B13, Trade, 167.117, 344, B13, S00, 1
B13, Trade, 176.367, 342, S06, B13, 1
B13, Trade, 179.783, 344, B13, S06, 1
B13, Trade, 203.600, 164, B13, S10, 1
B13, Trade, 209.183, 164, S12, B13, 1
B13, Trade, 226.750, 167, B13, S04, 1
B13, Trade, 234.083, 167, B13, S03, 1
B13, Trade, 256.617, 170, B13, S01, 1
B13, Trade, 273.650, 171, B13, S08, 1
B13, Trade, 281.167, 172, B13, S08, 1
B13, Trade, 286.417, 172, B13, S06, 1
B13, Trade, 297.950, 173, B13, S01, 1
B14, 9
B14, Trade, 248.033, 173, B14, S01, 1
B14, Trade, 255.817, 173, B14, S08, 1
B14, Trade, 259.983, 174, B14, S04, 1
B14, Trade, 268.500, 174, B14, S04, 1
B14, Trade, 273.633, 175, B14, S01, 1
B14, Trade, 280.317, 176, B14, S09, 1
B14, Trade, 283.650, 176, B14, S09, 1
B14, Trade, 289.450, 174, S12, B14, 1
B14, Trade, 294.150, 177, B14, S04, 1
B15, 3
B15, Trade, 66.583, 152, B15, S06, 1
B15, Trade, 184.000, 289, B15, S00, 1
B15, Trade, 223.400, 171, B15, S01, 1
B16, 51
B16, Trade, 5.383, 146, B16, S04, 1
B16, Trade, 8.683, 147, B16, S03, 1
B16, Trade, 14.117, 154, B16, S04, 1
B16, Trade, 21.850, 155, B16, S07, 1
B16, Trade, 24.083, 154, B16, S00, 1
B16, Trade, 29.533, 150, S12, B16, 1
B16, Trade, 34.650, 149, B16, S08, 1
B16, Trade, 37.083, 149, B16, S01, 1
B16, Trade, 46.733, 151, B16, S03, 1
B16, Trade, 48.333, 154, S12, B16, 1
B16, Trade, 51.883, 157, S05, B16, 1
B16, Trade, 60.850, 151, S11, B16, 1
B16, Trade, 61.567, 152, S02, B16, 1
B16, Trade, 71.800, 157, B16, S01, 1
B16, Trade, 75.900, 155, B16, S06, 1
B16, Trade, 77.400, 154, B16, S03, 1
B16, Trade, 84.633, 151, B16, S08, 1
B16, Trade, 91.200, 154, B16, S10, 1
B16, Trade, 95.700, 153, B16, S01, 1
B16, Trade, 100.200, 160, B16, S00, 1
B16, Trade, 103.450, 158, S11, B16, 1
B16, Trade, 108.583, 155, B16, S04, 1
B16, Trade, 112.133, 156, S02, B16, 1
B16, Trade, 127.467, 336, B16, S03, 1
B16, Trade, 137.850, 350, B16, S01, 1
B16, Trade, 141.717, 343, B16, S08, 1
B16, Trade, 150.683, 349, S05, B16, 1
B16, Trade, 156.250, 345, B16, S04, 1
B16, Trade, 161.117, 348, B16, S08, 1
B16, Trade, 163.900, 344, B16, S01, 1
B16, Trade, 173.583, 342, B16, S04, 1
B16, Trade, 183.000, 346, B16, S01, 1
B16, Trade, 196.383, 174, B16, S06, 1
B16, Trade, 200.483, 175, S16, B16, 1
B16, Trade, 205.867, 158, B16, S01, 1
B16, Trade, 209.300, 163, B16, S07, 1
B16, Trade, 213.300, 162, B16, S01, 1
B16, Trade, 219.917, 167, B16, S08, 1
B16, Trade, 228.233, 168, B16, S00, 1
B16, Trade, 232.800, 178, B16, S16, 1
B16, Trade, 237.217, 157, B16, S01, 1
B16, Trade, 243.167, 179, B16, S08, 1
B16, Trade, 250.850, 178, S11, B16, 1
B16, Trade, 256.317, 171, B16, S00, 1
B16, Trade, 259.700, 175, B16, S09, 1
B16, Trade, 264.283, 175, B16, S08, 1
B16, Trade, 273.150, 182, B16, S07, 1
B16, Trade, 275.483, 177, B16, S08, 1
B16, Trade, 283.767, 173, B16, S08, 1
B16, Trade, 288.350, 170, B16, S09, 1
