B00, 0
B01, 0
B02, 1
B02, Trade, 123.050, 167, S01, B02, 1
B03, 0
B04, 0
B05, 1
B05, Trade, 124.400, 238, S25, B05, 1
B06, 0
B07, 2
B07, Trade, 128.000, 324, B07, S05, 1
B07, Trade, 184.900, 324, B07, S08, 1
B08, 0
B09, 3
B09, Trade, 121.800, 164, S04, B09, 1
B09, Trade, 128.300, 325, S00, B09, 1
B09, Trade, 184.450, 330, B09, S24, 1
B10, 2
B10, Trade, 4.433, 134, B10, S08, 1
B10, Trade, 183.800, 334, B10, S05, 1
B11, 5
B11, Trade, 4.317, 137, B11, S11, 1
B11, Trade, 123.917, 205, S27, B11, 1
B11, Trade, 129.317, 331, S09, B11, 1
B11, Trade, 183.467, 337, B11, S15, 1
B11, Trade, 218.950, 158, B11, S09, 1
B12, 8
B12, Trade, 4.283, 141, B12, S01, 1
B12, Trade, 105.783, 151, B12, S05, 1
B12, Trade, 122.783, 165, S03, B12, 1
B12, Trade, 164.267, 341, B12, S11, 1
B12, Trade, 219.450, 157, B12, S05, 1
B12, Trade, 250.733, 166, B12, S11, 1
B12, Trade, 279.283, 169, B12, S05, 1
B12, Trade, 291.950, 170, B12, S06, 1
B13, 18
B13, Trade, 5.567, 144, B13, S02, 1
B13, Trade, 65.500, 150, B13, S05, 1
B13, Trade, 90.083, 152, B13, S11, 1
B13, Trade, 105.450, 154, B13, S08, 1
B13, Trade, 125.467, 327, S08, B13, 1
B13, Trade, 129.700, 337, S11, B13, 1
B13, Trade, 139.583, 344, B13, S05, 1
B13, Trade, 162.950, 344, B13, S10, 1
B13, Trade, 179.650, 344, B13, S08, 1
B13, Trade, 206.983, 164, B13, S11, 1
B13, Trade, 219.150, 159, S11, B13, 1
B13, Trade, 246.283, 169, B13, S05, 1
B13, Trade, 251.267, 169, B13, S07, 1
B13, Trade, 253.450, 169, B13, S08, 1
B13, Trade, 268.567, 171, B13, S11, 1
B13, Trade, 279.783, 169, S12, B13, 1
B13, Trade, 287.000, 173, B13, S11, 1
B13, Trade, 296.600, 173, B13, S06, 1
B14, 18
B14, Trade, 19.367, 148, B14, S05, 1
B14, Trade, 37.933, 150, B14, S05, 1
B14, Trade, 53.933, 151, B14, S11, 1
B14, Trade, 63.750, 153, B14, S11, 1
B14, Trade, 89.983, 155, B14, S08, 1
B14, Trade, 123.367, 170, S17, B14, 1
B14, Trade, 162.117, 344, B14, S05, 1
B14, Trade, 182.033, 341, B14, S05, 1
B14, Trade, 195.983, 166, B14, S05, 1
B14, Trade, 216.517, 168, B14, S11, 1
B14, Trade, 225.167, 168, B14, S08, 1
B14, Trade, 241.517, 171, B14, S06, 1
B14, Trade, 245.750, 170, B14, S11, 1
B14, Trade, 249.883, 167, B14, S12, 1
B14, Trade, 259.683, 173, B14, S08, 1
B14, Trade, 278.300, 174, B14, S11, 1
B14, Trade, 285.550, 173, B14, S07, 1
B14, Trade, 288.167, 174, B14, S08, 1
B15, 30
B15, Trade, 10.717, 151, B15, S05, 1
B15, Trade, 18.617, 151, B15, S11, 1
B15, Trade, 38.500, 153, B15, S11, 1
B15, Trade, 46.967, 153, B15, S08, 1
B15, Trade, 51.817, 154, B15, S05, 1
B15, Trade, 57.833, 156, B15, S05, 1
B15, Trade, 62.567, 154, S13, B15, 1
B15, Trade, 78.867, 158, B15, S08, 1
B15, Trade, 88.317, 157, B15, S05, 1
B15, Trade, 93.933, 156, B15, S11, 1
B15, Trade, 119.583, 161, B15, S11, 1
B15, Trade, 126.767, 329, S03, B15, 1
B15, Trade, 144.850, 346, B15, S08, 1
B15, Trade, 152.583, 346, B15, S08, 1
B15, Trade, 168.917, 350, B15, S11, 1
B15, Trade, 173.217, 346, B15, S10, 1
B15, Trade, 180.950, 345, B15, S11, 1
B15, Trade, 190.100, 169, B15, S05, 1
B15, Trade, 195.683, 169, B15, S11, 1
B15, Trade, 206.867, 170, B15, S03, 1
B15, Trade, 213.967, 171, B15, S09, 1
B15, Trade, 224.267, 169, B15, S00, 1
B15, Trade, 243.883, 174, B15, S09, 1
B15, Trade, 259.550, 175, B15, S11, 1
B15, Trade, 263.933, 172, B15, S07, 1
B15, Trade, 271.967, 174, B15, S08, 1
B15, Trade, 278.650, 171, S06, B15, 1
B15, Trade, 284.717, 177, B15, S12, 1
B15, Trade, 290.433, 175, B15, S12, 1
B15, Trade, 293.383, 168, B15, S05, 1
B16, 53
B16, Trade, 2.617, 155, B16, S15, 1
B16, Trade, 7.217, 156, B16, S05, 1
B16, Trade, 24.883, 157, B16, S15, 1
B16, Trade, 34.000, 158, B16, S05, 1
B16, Trade, 35.383, 158, B16, S08, 1
B16, Trade, 40.100, 159, S01, B16, 1
B16, Trade, 41.017, 159, B16, S05, 1
B16, Trade, 51.317, 156, S01, B16, 1
B16, Trade, 54.000, 160, B16, S10, 1
B16, Trade, 58.267, 161, B16, S15, 1
B16, Trade, 64.400, 158, S01, B16, 1
B16, Trade, 76.800, 163, B16, S11, 1
B16, Trade, 92.333, 164, B16, S15, 1
B16, Trade, 96.350, 159, S00, B16, 1
B16, Trade, 99.317, 162, S01, B16, 1
B16, Trade, 104.533, 165, S09, B16, 1
B16, Trade, 108.667, 166, B16, S05, 1
B16, Trade, 114.000, 166, B16, S02, 1
B16, Trade, 118.117, 167, B16, S05, 1
