B00, 0
B01, 1
B01, Trade, 124.867, 300, S00, B01, 1
B02, 1
B02, Trade, 184.633, 306, B02, S02, 1
B03, 0
B04, 1
B04, Trade, 183.900, 313, B04, S27, 1
B05, 1
B05, Trade, 183.600, 316, B05, S26, 1
B06, 0
B07, 0
B08, 3
B08, Trade, 123.700, 186, S14, B08, 1
B08, Trade, 183.317, 326, B08, S25, 1
B08, Trade, 298.450, 155, B08, S00, 1
B09, 8
B09, Trade, 19.100, 133, B09, S02, 1
B09, Trade, 21.983, 133, B09, S00, 1
B09, Trade, 59.483, 137, B09, S02, 1
B09, Trade, 93.717, 140, B09, S00, 1
B09, Trade, 148.333, 331, B09, S00, 1
B09, Trade, 182.117, 331, B09, S12, 1
B09, Trade, 257.750, 156, B09, S00, 1
B09, Trade, 288.300, 160, S05, B09, 1
B10, 2
B10, Trade, 4.183, 134, B10, S09, 1
B10, Trade, 123.450, 184, S21, B10, 1
B11, 1
B11, Trade, 258.867, 155, B11, S02, 1
B12, 16
B12, Trade, 12.050, 142, B12, S12, 1
B12, Trade, 48.617, 141, B12, S02, 1
B12, Trade, 53.800, 146, B12, S12, 1
B12, Trade, 57.733, 142, S07, B12, 1
B12, Trade, 86.300, 149, B12, S00, 1
B12, Trade, 96.933, 150, B12, S00, 1
B12, Trade, 98.867, 151, B12, S12, 1
B12, Trade, 147.150, 341, B12, S02, 1
B12, Trade, 157.467, 339, B12, S02, 1
B12, Trade, 164.583, 341, B12, S12, 1
B12, Trade, 181.733, 341, B12, S04, 1
B12, Trade, 250.150, 161, B12, S00, 1
B12, Trade, 279.450, 168, B12, S05, 1
B12, Trade, 287.600, 170, B12, S02, 1
B12, Trade, 288.783, 156, B12, S02, 1
B12, Trade, 295.867, 167, S11, B12, 1
B13, 3
B13, Trade, 168.833, 339, B13, S00, 1
B13, Trade, 207.117, 158, B13, S00, 1
B13, Trade, 299.200, 171, S12, B13, 1
B14, 32
B14, Trade, 3.450, 120, B14, S00, 1
B14, Trade, 8.783, 145, B14, S00, 1
B14, Trade, 12.000, 147, B14, S07, 1
B14, Trade, 21.333, 136, S10, B14, 1
B14, Trade, 32.967, 148, B14, S00, 1
B14, Trade, 38.183, 151, B14, S00, 1
B14, Trade, 56.650, 149, B14, S00, 1
B14, Trade, 75.800, 154, B14, S09, 1
B14, Trade, 80.400, 150, B14, S00, 1
B14, Trade, 86.150, 155, B14, S02, 1
B14, Trade, 96.217, 154, B14, S07, 1
B14, Trade, 105.933, 157, B14, S00, 1
B14, Trade, 117.950, 158, B14, S02, 1
B14, Trade, 124.000, 199, S07, B14, 1
B14, Trade, 135.533, 347, B14, S00, 1
B14, Trade, 141.133, 344, B14, S00, 1
B14, Trade, 145.000, 347, B14, S12, 1
B14, Trade, 149.317, 334, B14, S02, 1
B14, Trade, 162.483, 339, B14, S10, 1
B14, Trade, 168.167, 341, B14, S12, 1
B14, Trade, 176.833, 347, B14, S12, 1
B14, Trade, 180.017, 346, S03, B14, 1
B14, Trade, 209.233, 159, B14, S02, 1
B14, Trade, 228.100, 169, B14, S02, 1
B14, Trade, 237.750, 170, B14, S01, 1
B14, Trade, 244.350, 168, B14, S13, 1
B14, Trade, 252.167, 172, B14, S10, 1
B14, Trade, 266.417, 173, B14, S05, 1
B14, Trade, 274.600, 173, B14, S09, 1
B14, Trade, 276.133, 172, B14, S13, 1
B14, Trade, 287.200, 172, B14, S00, 1
B14, Trade, 295.267, 176, B14, S05, 1
B15, 43
B15, Trade, 17.100, 142, B15, S00, 1
B15, Trade, 21.533, 136, S04, B15, 1
B15, Trade, 25.150, 153, B15, S12, 1
B15, Trade, 29.933, 148, B15, S02, 1
B15, Trade, 34.733, 148, B15, S12, 1
B15, Trade, 41.900, 151, B15, S09, 1
B15, Trade, 45.517, 153, B15, S02, 1
B15, Trade, 49.683, 148, B15, S00, 1
B15, Trade, 55.367, 152, B15, S00, 1
B15, Trade, 62.400, 137, B15, S02, 1
B15, Trade, 67.033, 157, B15, S12, 1
B15, Trade, 72.550, 158, B15, S00, 1
B15, Trade, 79.500, 150, B15, S07, 1
B15, Trade, 90.767, 159, B15, S01, 1
B15, Trade, 94.367, 152, B15, S09, 1
B15, Trade, 100.967, 159, B15, S02, 1
B15, Trade, 103.417, 161, B15, S00, 1
B15, Trade, 106.950, 152, B15, S10, 1
B15, Trade, 116.017, 162, B15, S02, 1
B15, Trade, 129.600, 339, B15, S00, 1
B15, Trade, 133.650, 347, B15, S12, 1
B15, Trade, 140.450, 347, B15, S02, 1
B15, Trade, 143.367, 348, B15, S07, 1
B15, Trade, 154.200, 338, B15, S02, 1
B15, Trade, 160.083, 339, B15, S00, 1
B15, Trade, 176.433, 349, B15, S01, 1
B15, Trade, 201.533, 171, B15, S00, 1
B15, Trade, 205.133, 162, B15, S03, 1
B15, Trade, 216.000, 170, B15, S00, 1
B15, Trade, 221.333, 173, B15, S02, 1
B15, Trade, 226.367, 173, B15, S00, 1
B15, Trade, 229.450, 166, B15, S12, 1
B15, Trade, 235.733, 172, B15, S00, 1
B15, Trade, 241.967, 175, B15, S02, 1
B15, Trade, 243.200, 172, B15, S13, 1
B15, Trade, 253.167, 173, B15, S12, 1
B15, Trade, 256.683, 168, B15, S00, 1
B15, Trade, 260.667, 168, B15, S12, 1
B15, Trade, 268.483, 173, B15, S00, 1
B15, Trade, 273.200, 173, B15, S11, 1
B15, Trade, 282.550, 168, B15, S01, 1
B15, Trade, 290.917, 161, B15, S00, 1
B15, Trade, 298.317, 173, B15, S11, 1
B16, 41
B16, Trade, 6.267, 132, B16, S02, 1
B16, Trade, 12.017, 143, B16, S00, 1
B16, Trade, 28.700, 148, B16, S12, 1
B16, Trade, 31.967, 150, B16, S02, 1
B16, Trade, 39.683, 151, B16, S02, 1
B16, Trade, 45.267, 156, B16, S12, 1
