B00, 0
B01, 0
B02, 0
B03, 2
B03, Trade, 123.683, 208, S28, B03, 1
B03, Trade, 183.317, 305, B03, S19, 1
B04, 1
B04, Trade, 123.767, 212, S29, B04, 1
B05, 0
B06, 0
B07, 0
B08, 3
B08, Trade, 122.667, 172, S16, B08, 1
B08, Trade, 183.217, 326, B08, S09, 1
B08, Trade, 285.700, 154, B08, S02, 1
B09, 3
B09, Trade, 124.300, 268, S10, B09, 1
B09, Trade, 182.517, 331, B09, S25, 1
B09, Trade, 284.400, 159, B09, S05, 1
B10, 1
B10, Trade, 122.950, 198, S25, B10, 1
B11, 0
B12, 0
B13, 3
B13, Trade, 122.900, 177, S19, B13, 1
B13, Trade, 183.467, 228, B13, S13, 1
B13, Trade, 285.317, 166, B13, S11, 1
B14, 9
B14, Trade, 55.733, 153, B14, S11, 1
B14, Trade, 60.850, 154, B14, S04, 1
B14, Trade, 107.417, 159, B14, S11, 1
B14, Trade, 129.967, 343, B14, S04, 1
B14, Trade, 149.850, 348, B14, S11, 1
B14, Trade, 157.400, 348, B14, S05, 1
B14, Trade, 200.500, 168, B14, S08, 1
B14, Trade, 280.450, 175, S06, B14, 1
B14, Trade, 294.333, 177, B14, S06, 1
B15, 7
B15, Trade, 244.400, 175, B15, S06, 1
B15, Trade, 251.117, 176, B15, S05, 1
B15, Trade, 261.667, 177, B15, S08, 1
B15, Trade, 263.850, 177, B15, S00, 1
B15, Trade, 277.800, 178, B15, S07, 1
B15, Trade, 279.367, 175, S02, B15, 1
B15, Trade, 287.683, 174, S06, B15, 1
B16, 37
B16, Trade, 10.017, 151, B16, S11, 1
B16, Trade, 14.117, 153, B16, S11, 1
B16, Trade, 23.533, 157, S07, B16, 1
B16, Trade, 30.133, 158, B16, S11, 1
B16, Trade, 57.900, 160, B16, S05, 1
B16, Trade, 59.167, 161, B16, S11, 1
B16, Trade, 96.517, 159, B16, S12, 1
B16, Trade, 109.283, 166, B16, S08, 1
B16, Trade, 118.567, 167, B16, S11, 1
B16, Trade, 126.383, 337, S11, B16, 1
B16, Trade, 129.683, 344, B16, S05, 1
B16, Trade, 136.833, 355, B16, S11, 1
B16, Trade, 143.017, 353, B16, S05, 1
B16, Trade, 149.117, 355, B16, S14, 1
B16, Trade, 157.100, 349, B16, S08, 1
B16, Trade, 164.000, 350, B16, S09, 1
B16, Trade, 172.650, 355, B16, S08, 1
B16, Trade, 182.183, 355, B16, S01, 1
B16, Trade, 187.233, 167, B16, S05, 1
B16, Trade, 200.283, 174, B16, S11, 1
B16, Trade, 203.233, 170, B16, S04, 1
B16, Trade, 210.417, 176, B16, S09, 1
B16, Trade, 223.233, 177, B16, S05, 1
B16, Trade, 225.483, 177, B16, S04, 1
B16, Trade, 236.283, 178, B16, S05, 1
B16, Trade, 241.517, 179, B16, S11, 1
B16, Trade, 244.083, 176, B16, S15, 1
B16, Trade, 249.167, 173, B16, S11, 1
B16, Trade, 260.667, 178, B16, S11, 1
B16, Trade, 266.583, 176, B16, S04, 1
B16, Trade, 267.633, 175, B16, S05, 1
B16, Trade, 274.667, 182, B16, S00, 1
B16, Trade, 281.283, 176, B16, S08, 1
B16, Trade, 283.483, 179, B16, S15, 1
B16, Trade, 291.800, 184, B16, S04, 1
B16, Trade, 296.850, 184, S16, B16, 1
B16, Trade, 297.650, 185, B16, S07, 1
B17, 5
B17, Trade, 2.683, 138, S07, B17, 1
B17, Trade, 182.217, 345, B17, S28, 1
B17, Trade, 224.400, 179, S07, B17, 1
B17, Trade, 263.367, 181, S14, B17, 1
B17, Trade, 288.633, 180, B17, S03, 1
B18, 11
B18, Trade, 241.033, 182, B18, S00, 1
B18, Trade, 243.133, 179, B18, S05, 1
B18, Trade, 251.050, 180, S00, B18, 1
B18, Trade, 254.717, 177, S07, B18, 1
B18, Trade, 258.267, 184, S06, B18, 1
B18, Trade, 265.717, 165, B18, S05, 1
B18, Trade, 272.200, 185, B18, S11, 1
B18, Trade, 278.000, 179, S15, B18, 1
B18, Trade, 287.383, 177, S13, B18, 1
B18, Trade, 289.417, 183, S13, B18, 1
B18, Trade, 295.283, 166, S11, B18, 1
B19, 36
B19, Trade, 3.850, 134, B19, S05, 1
B19, Trade, 17.900, 154, B19, S11, 1
B19, Trade, 26.667, 158, B19, S08, 1
B19, Trade, 34.583, 164, B19, S04, 1
B19, Trade, 41.017, 165, B19, S04, 1
B19, Trade, 46.767, 164, B19, S05, 1
B19, Trade, 60.517, 161, B19, S16, 1
B19, Trade, 69.183, 160, B19, S12, 1
B19, Trade, 82.067, 172, B19, S11, 1
B19, Trade, 89.433, 170, B19, S14, 1
B19, Trade, 93.333, 169, B19, S04, 1
B19, Trade, 99.850, 162, B19, S09, 1
B19, Trade, 107.317, 168, B19, S04, 1
B19, Trade, 118.483, 169, B19, S09, 1
B19, Trade, 125.767, 332, S09, B19, 1
B19, Trade, 138.917, 356, B19, S08, 1
B19, Trade, 148.967, 357, B19, S09, 1
B19, Trade, 159.933, 354, B19, S11, 1
B19, Trade, 178.083, 364, B19, S16, 1
B19, Trade, 190.233, 181, B19, S11, 1
B19, Trade, 197.200, 177, B19, S05, 1
B19, Trade, 201.200, 156, S08, B19, 1
B19, Trade, 211.133, 177, B19, S07, 1
B19, Trade, 214.250, 173, B19, S05, 1
B19, Trade, 227.050, 179, B19, S13, 1
