B00, 1
B00, Trade, 185.450, 300, B00, S09, 1
B01, 0
B02, 0
B03, 1
B03, Trade, 184.517, 307, B03, S02, 1
B04, 0
B05, 0
B06, 0
B07, 0
B08, 2
B08, Trade, 122.867, 205, S27, B08, 1
B08, Trade, 184.350, 327, B08, S28, 1
B09, 0
B10, 0
B11, 1
B11, Trade, 122.583, 170, S07, B11, 1
B12, 1
B12, Trade, 123.117, 208, S28, B12, 1
B13, 8
B13, Trade, 52.333, 149, B13, S08, 1
B13, Trade, 68.450, 151, B13, S09, 1
B13, Trade, 125.183, 343, S06, B13, 1
B13, Trade, 127.950, 331, S09, B13, 1
B13, Trade, 136.283, 344, B13, S01, 1
B13, Trade, 168.983, 344, B13, S13, 1
B13, Trade, 177.383, 344, B13, S01, 1
B13, Trade, 183.583, 344, B13, S27, 1
B14, 6
B14, Trade, 26.400, 149, B14, S02, 1
B14, Trade, 122.833, 194, S24, B14, 1
B14, Trade, 136.667, 341, B14, S08, 1
B14, Trade, 177.083, 347, B14, S09, 1
B14, Trade, 278.283, 175, B14, S10, 1
B14, Trade, 286.617, 175, B14, S12, 1
B15, 21
B15, Trade, 13.933, 152, B15, S13, 1
B15, Trade, 26.267, 153, B15, S13, 1
B15, Trade, 41.750, 152, B15, S08, 1
B15, Trade, 47.367, 156, B15, S01, 1
B15, Trade, 57.733, 157, B15, S03, 1
B15, Trade, 62.433, 157, B15, S09, 1
B15, Trade, 112.000, 162, S03, B15, 1
B15, Trade, 126.783, 316, B15, S01, 1
B15, Trade, 134.550, 345, S04, B15, 1
B15, Trade, 140.250, 346, B15, S02, 1
B15, Trade, 142.900, 350, B15, S04, 1
B15, Trade, 159.350, 351, B15, S09, 1
B15, Trade, 168.500, 351, B15, S01, 1
B15, Trade, 176.683, 351, B15, S08, 1
B15, Trade, 182.633, 349, B15, S11, 1
B15, Trade, 221.467, 171, B15, S13, 1
B15, Trade, 233.467, 173, B15, S12, 1
B15, Trade, 238.483, 175, B15, S09, 1
B15, Trade, 254.983, 173, B15, S09, 1
B15, Trade, 279.333, 176, B15, S06, 1
B15, Trade, 285.550, 178, B15, S09, 1
B16, 37
B16, Trade, 3.317, 155, B16, S13, 1
B16, Trade, 7.033, 156, B16, S06, 1
B16, Trade, 10.517, 155, S07, B16, 1
B16, Trade, 26.233, 157, B16, S01, 1
B16, Trade, 33.117, 158, B16, S01, 1
B16, Trade, 39.933, 159, B16, S03, 1
B16, Trade, 42.650, 155, S06, B16, 1
B16, Trade, 51.050, 160, B16, S09, 1
B16, Trade, 55.883, 161, B16, S13, 1
B16, Trade, 62.317, 161, B16, S11, 1
B16, Trade, 87.467, 164, B16, S06, 1
B16, Trade, 104.567, 165, B16, S01, 1
B16, Trade, 106.883, 161, S15, B16, 1
B16, Trade, 115.833, 166, B16, S13, 1
B16, Trade, 116.567, 164, S07, B16, 1
B16, Trade, 121.983, 170, S17, B16, 1
B16, Trade, 130.217, 344, S13, B16, 1
B16, Trade, 132.950, 345, S03, B16, 1
B16, Trade, 136.917, 347, S07, B16, 1
B16, Trade, 151.267, 355, B16, S11, 1
B16, Trade, 154.217, 355, B16, S01, 1
B16, Trade, 162.633, 355, S04, B16, 1
B16, Trade, 168.383, 355, B16, S02, 1
B16, Trade, 169.917, 353, S06, B16, 1
B16, Trade, 175.267, 355, B16, S02, 1
B16, Trade, 179.700, 355, B16, S13, 1
B16, Trade, 197.100, 174, B16, S00, 1
B16, Trade, 203.383, 175, B16, S09, 1
B16, Trade, 212.183, 176, B16, S13, 1
B16, Trade, 214.550, 176, S04, B16, 1
B16, Trade, 222.600, 176, S04, B16, 1
B16, Trade, 225.583, 177, B16, S15, 1
B16, Trade, 229.200, 178, B16, S13, 1
B16, Trade, 254.750, 176, S06, B16, 1
B16, Trade, 268.400, 180, S03, B16, 1
B16, Trade, 277.917, 183, B16, S13, 1
B16, Trade, 285.000, 183, S04, B16, 1
B17, 3
B17, Trade, 2.183, 149, B17, S09, 1
B17, Trade, 13.583, 153, B17, S03, 1
B17, Trade, 124.200, 338, S00, B17, 1
B18, 42
B18, Trade, 10.583, 152, B18, S13, 1
B18, Trade, 25.017, 158, S03, B18, 1
B18, Trade, 25.817, 158, B18, S15, 1
B18, Trade, 34.500, 158, B18, S15, 1
B18, Trade, 40.517, 158, B18, S12, 1
B18, Trade, 45.950, 155, B18, S00, 1
B18, Trade, 48.050, 155, B18, S04, 1
B18, Trade, 57.383, 157, B18, S06, 1
B18, Trade, 58.950, 157, B18, S13, 1
B18, Trade, 68.117, 163, B18, S15, 1
B18, Trade, 74.550, 162, B18, S11, 1
B18, Trade, 82.650, 169, B18, S13, 1
B18, Trade, 96.467, 168, B18, S09, 1
B18, Trade, 98.733, 167, B18, S15, 1
B18, Trade, 105.200, 164, B18, S13, 1
B18, Trade, 110.300, 164, B18, S02, 1
B18, Trade, 116.233, 164, S14, B18, 1
B18, Trade, 117.600, 165, B18, S15, 1
B18, Trade, 123.683, 310, S03, B18, 1
B18, Trade, 140.983, 345, B18, S13, 1
B18, Trade, 151.217, 360, B18, S13, 1
B18, Trade, 157.367, 358, B18, S00, 1
B18, Trade, 167.733, 357, B18, S07, 1
B18, Trade, 176.067, 353, B18, S03, 1
B18, Trade, 181.900, 349, B18, S08, 1
B18, Trade, 195.233, 178, B18, S11, 1
B18, Trade, 195.767, 179, S06, B18, 1
B18, Trade, 206.850, 181, B18, S08, 1
B18, Trade, 208.533, 178, S15, B18, 1
B18, Trade, 217.950, 176, B18, S15, 1
B18, Trade, 228.450, 175, B18, S02, 1
B18, Trade, 239.850, 179, B18, S02, 1
B18, Trade, 243.550, 180, B18, S10, 1
B18, Trade, 253.267, 182, B18, S13, 1
B18, Trade, 257.017, 175, B18, S01, 1
B18, Trade, 263.633, 180, B18, S09, 1
B18, Trade, 267.783, 180, B18, S08, 1
B18, Trade, 272.383, 180, B18, S09, 1
B18, Trade, 276.950, 184, B18, S13, 1
B18, Trade, 284.833, 182, B18, S05, 1
B18, Trade, 290.350, 188, B18, S05, 1
B18, Trade, 298.267, 190, B18, S14, 1
B19, 44
B19, Trade, 8.867, 152, B19, S12, 1
B19, Trade, 19.917, 156, B19, S13, 1
B19, Trade, 24.567, 159, B19, S00, 1
B19, Trade, 34.283, 158, S06, B19, 1
