B00, 0
B01, 0
B02, 0
B03, 0
B04, 0
B05, 0
B06, 1
B06, Trade, 15.333, 118, B06, S01, 1
B07, 0
B08, 0
B09, 1
B09, Trade, 197.100, 125, B09, S02, 1
B10, 3
B10, Trade, 94.933, 131, B10, S03, 1
B10, Trade, 136.883, 132, B10, S02, 1
B10, Trade, 222.233, 131, B10, S02, 1
B11, 0
B12, 0
B13, 0
B14, 1
B14, Trade, 218.167, 145, B14, S04, 1
B15, 11
B15, Trade, 8.117, 121, B15, S04, 1
B15, Trade, 45.467, 112, B15, S01, 1
B15, Trade, 119.250, 140, S07, B15, 1
B15, Trade, 138.733, 147, B15, S04, 1
B15, Trade, 144.467, 147, B15, S01, 1
B15, Trade, 175.433, 149, B15, S02, 1
B15, Trade, 182.967, 140, B15, S03, 1
B15, Trade, 195.167, 138, S01, B15, 1
B15, Trade, 211.367, 140, B15, S03, 1
B15, Trade, 269.633, 144, B15, S09, 1
B15, Trade, 284.133, 139, B15, S01, 1
B16, 8
B16, Trade, 15.017, 130, B16, S02, 1
B16, Trade, 39.067, 151, S01, B16, 1
B16, Trade, 58.683, 154, B16, S05, 1
B16, Trade, 83.867, 153, B16, S08, 1
B16, Trade, 151.300, 147, B16, S09, 1
B16, Trade, 240.900, 152, B16, S04, 1
B16, Trade, 262.033, 152, B16, S09, 1
B16, Trade, 281.033, 136, S04, B16, 1
B17, 3
B17, Trade, 106.567, 149, B17, S09, 1
B17, Trade, 217.033, 151, B17, S09, 1
B17, Trade, 279.550, 138, S10, B17, 1
B18, 5
B18, Trade, 76.517, 142, B18, S02, 1
B18, Trade, 234.267, 145, B18, S03, 1
B18, Trade, 252.000, 136, S07, B18, 1
B18, Trade, 295.433, 132, B18, S07, 1
B18, Trade, 298.183, 137, B18, S05, 1
B19, 6
B19, Trade, 102.117, 148, B19, S10, 1
B19, Trade, 206.200, 158, B19, S03, 1
B19, Trade, 216.883, 140, S02, B19, 1
B19, Trade, 249.950, 146, B19, S01, 1
B19, Trade, 270.600, 145, B19, S04, 1
B19, Trade, 278.450, 145, B19, S03, 1
B20, 52
B20, Trade, 6.233, 131, S01, B20, 1
B20, Trade, 15.167, 166, S06, B20, 1
B20, Trade, 22.517, 150, S06, B20, 1
B20, Trade, 30.833, 167, B20, S07, 1
B20, Trade, 36.217, 168, B20, S06, 1
B20, Trade, 40.417, 134, S09, B20, 1
B20, Trade, 47.317, 146, S12, B20, 1
B20, Trade, 50.367, 162, S02, B20, 1
B20, Trade, 57.733, 161, B20, S09, 1
B20, Trade, 64.900, 164, B20, S12, 1
B20, Trade, 65.917, 144, B20, S02, 1
B20, Trade, 72.667, 155, B20, S03, 1
B20, Trade, 77.100, 150, B20, S05, 1
B20, Trade, 80.933, 164, B20, S04, 1
B20, Trade, 91.917, 144, B20, S01, 1
B20, Trade, 101.617, 166, B20, S07, 1
B20, Trade, 106.283, 167, B20, S02, 1
B20, Trade, 111.933, 161, B20, S02, 1
B20, Trade, 116.683, 153, B20, S04, 1
B20, Trade, 122.133, 149, S10, B20, 1
B20, Trade, 128.000, 168, B20, S07, 1
B20, Trade, 134.183, 167, S19, B20, 1
B20, Trade, 136.450, 144, S07, B20, 1
B20, Trade, 145.400, 165, S14, B20, 1
B20, Trade, 146.300, 141, B20, S02, 1
B20, Trade, 158.300, 154, B20, S02, 1
B20, Trade, 161.850, 168, B20, S03, 1
B20, Trade, 166.717, 154, B20, S11, 1
B20, Trade, 172.233, 167, B20, S07, 1
B20, Trade, 177.617, 163, B20, S09, 1
B20, Trade, 190.067, 161, B20, S01, 1
B20, Trade, 193.750, 144, S09, B20, 1
B20, Trade, 196.317, 146, S10, B20, 1
B20, Trade, 203.733, 159, B20, S08, 1
B20, Trade, 214.800, 158, S15, B20, 1
B20, Trade, 219.517, 163, B20, S05, 1
B20, Trade, 221.350, 154, B20, S09, 1
B20, Trade, 226.900, 133, S09, B20, 1
B20, Trade, 233.900, 151, B20, S07, 1
B20, Trade, 238.533, 159, B20, S10, 1
B20, Trade, 242.683, 151, B20, S10, 1
B20, Trade, 247.450, 157, B20, S09, 1
B20, Trade, 251.517, 129, S01, B20, 1
B20, Trade, 258.500, 168, B20, S12, 1
B20, Trade, 261.633, 145, S01, B20, 1
B20, Trade, 267.150, 154, S08, B20, 1
B20, Trade, 272.050, 165, B20, S03, 1
B20, Trade, 277.983, 153, S07, B20, 1
B20, Trade, 282.233, 164, B20, S02, 1
B20, Trade, 288.300, 159, B20, S03, 1
B20, Trade, 294.800, 162, B20, S09, 1
B20, Trade, 299.567, 159, B20, S09, 1
B21, 31
B21, Trade, 6.933, 132, S03, B21, 1
B21, Trade, 18.100, 165, B21, S12, 1
B21, Trade, 24.433, 143, B21, S01, 1
B21, Trade, 32.017, 157, B21, S11, 1
B21, Trade, 36.733, 159, B21, S02, 1
B21, Trade, 45.433, 133, S09, B21, 1
B21, Trade, 55.167, 167, S19, B21, 1
B21, Trade, 55.800, 149, B21, S03, 1
B21, Trade, 72.600, 160, B21, S02, 1
B21, Trade, 75.767, 135, B21, S01, 1
B21, Trade, 94.600, 168, S19, B21, 1
B21, Trade, 97.067, 155, S03, B21, 1
B21, Trade, 113.550, 165, B21, S01, 1
B21, Trade, 123.683, 155, S15, B21, 1
B21, Trade, 132.817, 160, B21, S09, 1
B21, Trade, 136.600, 172, B21, S09, 1
B21, Trade, 147.067, 161, S12, B21, 1
B21, Trade, 165.883, 159, B21, S09, 1
B21, Trade, 173.967, 163, B21, S09, 1
B21, Trade, 182.033, 159, B21, S15, 1
B21, Trade, 190.400, 160, B21, S02, 1
B21, Trade, 193.333, 158, S10, B21, 1
B21, Trade, 196.683, 163, B21, S08, 1
B21, Trade, 202.100, 165, B21, S04, 1
B21, Trade, 206.117, 167, B21, S07, 1
B21, Trade, 230.767, 138, B21, S02, 1
B21, Trade, 231.467, 122, S02, B21, 1
B21, Trade, 242.083, 144, B21, S04, 1
B21, Trade, 270.167, 169, S19, B21, 1
B21, Trade, 275.033, 165, B21, S10, 1
B21, Trade, 294.233, 171, B21, S06, 1
B22, 13
B22, Trade, 19.250, 155, B22, S04, 1
B22, Trade, 31.650, 153, B22, S09, 1
B22, Trade, 66.800, 135, B22, S03, 1
B22, Trade, 112.367, 142, B22, S04, 1
B22, Trade, 134.517, 132, B22, S03, 1
B22, Trade, 154.783, 138, S07, B22, 1
B22, Trade, 236.983, 147, B22, S07, 1
B22, Trade, 257.650, 152, B22, S07, 1
B22, Trade, 262.750, 147, B22, S02, 1
B22, Trade, 269.767, 142, B22, S02, 1
B22, Trade, 272.633, 157, B22, S09, 1
B22, Trade, 282.900, 144, B22, S03, 1
B22, Trade, 294.817, 152, B22, S03, 1
B23, 17
B23, Trade, 8.267, 128, S07, B23, 1
B23, Trade, 13.967, 148, S03, B23, 1
B23, Trade, 52.117, 171, B23, S07, 1
B23, Trade, 61.033, 154, B23, S09, 1
B23, Trade, 73.883, 153, S01, B23, 1
B23, Trade, 80.350, 156, B23, S04, 1
B23, Trade, 97.533, 144, S10, B23, 1
B23, Trade, 104.483, 157, B23, S01, 1
B23, Trade, 108.550, 163, B23, S15, 1
B23, Trade, 112.450, 145, S08, B23, 1
B23, Trade, 117.517, 141, B23, S01, 1
B23, Trade, 121.617, 130, S02, B23, 1
B23, Trade, 157.100, 156, S07, B23, 1
B23, Trade, 211.683, 129, B23, S02, 1
B23, Trade, 229.800, 154, B23, S12, 1
B23, Trade, 239.850, 166, B23, S14, 1
B23, Trade, 285.517, 148, B23, S04, 1
B24, 15
B24, Trade, 21.867, 167, S02, B24, 1
B24, Trade, 29.300, 148, B24, S07, 1
B24, Trade, 31.150, 163, B24, S04, 1
B24, Trade, 51.033, 148, B24, S03, 1
B24, Trade, 81.483, 135, B24, S03, 1
B24, Trade, 98.367, 153, S15, B24, 1
B24, Trade, 120.083, 162, S10, B24, 1
B24, Trade, 126.533, 163, S15, B24, 1
B24, Trade, 131.067, 138, B24, S08, 1
B24, Trade, 160.767, 156, B24, S12, 1
B24, Trade, 164.400, 159, B24, S02, 1
B24, Trade, 176.917, 145, B24, S07, 1
B24, Trade, 182.167, 143, B24, S09, 1
B24, Trade, 244.017, 160, B24, S03, 1
B24, Trade, 256.667, 128, B24, S02, 1
B25, 22
B25, Trade, 10.017, 155, S15, B25, 1
B25, Trade, 23.700, 156, S03, B25, 1
B25, Trade, 35.583, 162, S12, B25, 1
B25, Trade, 43.733, 154, B25, S02, 1
B25, Trade, 48.400, 151, S10, B25, 1
B25, Trade, 55.117, 154, B25, S01, 1
B25, Trade, 57.883, 155, B25, S10, 1
B25, Trade, 69.250, 161, S05, B25, 1
B25, Trade, 98.033, 142, B25, S07, 1
B25, Trade, 111.950, 143, B25, S07, 1
B25, Trade, 126.417, 133, S02, B25, 1
B25, Trade, 163.250, 172, B25, S06, 1
B25, Trade, 176.583, 153, B25, S02, 1
B25, Trade, 183.633, 175, S19, B25, 1
B25, Trade, 191.350, 132, S03, B25, 1
B25, Trade, 199.067, 159, B25, S15, 1
B25, Trade, 215.217, 162, B25, S07, 1
B25, Trade, 218.900, 154, B25, S01, 1
B25, Trade, 222.167, 171, S19, B25, 1
B25, Trade, 234.133, 164, B25, S01, 1
B25, Trade, 239.933, 164, B25, S02, 1
B25, Trade, 264.533, 149, B25, S04, 1
B26, 24
B26, Trade, 14.833, 130, B26, S01, 1
B26, Trade, 62.550, 165, B26, S07, 1
B26, Trade, 66.683, 135, B26, S08, 1
B26, Trade, 72.700, 152, B26, S07, 1
B26, Trade, 87.133, 158, B26, S09, 1
B26, Trade, 99.233, 136, B26, S09, 1
B26, Trade, 103.317, 138, B26, S09, 1
B26, Trade, 122.083, 124, B26, S01, 1
B26, Trade, 130.100, 140, B26, S04, 1
B26, Trade, 133.017, 140, B26, S01, 1
B26, Trade, 142.917, 155, B26, S10, 1
B26, Trade, 155.450, 136, B26, S03, 1
B26, Trade, 180.667, 163, B26, S03, 1
B26, Trade, 181.883, 162, B26, S02, 1
B26, Trade, 190.550, 155, B26, S04, 1
B26, Trade, 204.417, 150, B26, S02, 1
B26, Trade, 215.250, 149, B26, S01, 1
B26, Trade, 245.717, 146, B26, S08, 1
B26, Trade, 248.067, 138, B26, S02, 1
B26, Trade, 254.217, 139, B26, S02, 1
B26, Trade, 263.917, 145, B26, S07, 1
B26, Trade, 271.967, 180, B26, S07, 1
B26, Trade, 288.667, 157, B26, S01, 1
B26, Trade, 292.983, 179, B26, S14, 1
B27, 37
B27, Trade, 9.533, 139, B27, S09, 1
B27, Trade, 12.133, 135, B27, S04, 1
B27, Trade, 16.700, 179, B27, S08, 1
B27, Trade, 27.883, 151, B27, S03, 1
B27, Trade, 34.967, 146, B27, S03, 1
B27, Trade, 53.300, 146, B27, S04, 1
B27, Trade, 58.017, 154, B27, S01, 1
B27, Trade, 62.150, 171, B27, S08, 1
B27, Trade, 66.300, 142, B27, S09, 1
B27, Trade, 73.717, 149, B27, S08, 1
B27, Trade, 83.617, 152, B27, S09, 1
B27, Trade, 87.667, 156, B27, S10, 1
B27, Trade, 92.967, 134, B27, S02, 1
B27, Trade, 97.850, 138, B27, S02, 1
B27, Trade, 103.533, 138, B27, S03, 1
B27, Trade, 109.617, 160, B27, S01, 1
B27, Trade, 129.933, 141, B27, S09, 1
B27, Trade, 132.867, 158, B27, S02, 1
B27, Trade, 136.667, 170, B27, S01, 1
B27, Trade, 142.567, 161, B27, S02, 1
B27, Trade, 162.633, 164, B27, S01, 1
B27, Trade, 168.883, 151, B27, S03, 1
B27, Trade, 174.233, 159, B27, S12, 1
B27, Trade, 179.933, 169, B27, S04, 1
B27, Trade, 185.967, 157, B27, S07, 1
B27, Trade, 187.383, 165, B27, S09, 1
B27, Trade, 191.383, 120, B27, S04, 1
B27, Trade, 200.417, 155, B27, S07, 1
B27, Trade, 204.383, 157, B27, S07, 1
B27, Trade, 206.900, 147, B27, S02, 1
B27, Trade, 213.483, 163, B27, S09, 1
B27, Trade, 219.033, 153, B27, S15, 1
B27, Trade, 230.183, 152, B27, S01, 1
B27, Trade, 236.033, 142, B27, S10, 1
B27, Trade, 242.933, 149, B27, S07, 1
B27, Trade, 261.050, 159, B27, S01, 1
B27, Trade, 292.633, 186, B27, S02, 1
B28, 21
B28, Trade, 16.617, 182, B28, S03, 1
B28, Trade, 42.583, 157, S00, B28, 1
B28, Trade, 50.050, 169, S19, B28, 1
B28, Trade, 79.433, 167, S19, B28, 1
B28, Trade, 84.183, 151, B28, S01, 1
B28, Trade, 95.033, 136, S10, B28, 1
B28, Trade, 96.450, 153, S05, B28, 1
B28, Trade, 118.517, 133, B28, S02, 1
B28, Trade, 130.167, 136, B28, S01, 1
B28, Trade, 143.017, 167, S19, B28, 1
B28, Trade, 152.333, 143, S02, B28, 1
B28, Trade, 185.333, 159, B28, S14, 1
B28, Trade, 187.217, 168, B28, S08, 1
B28, Trade, 192.383, 161, S07, B28, 1
B28, Trade, 213.533, 153, B28, S04, 1
B28, Trade, 223.033, 140, B28, S07, 1
B28, Trade, 254.267, 160, S14, B28, 1
B28, Trade, 260.783, 160, B28, S08, 1
B28, Trade, 265.083, 153, S00, B28, 1
B28, Trade, 276.000, 171, S19, B28, 1
B28, Trade, 290.083, 145, S07, B28, 1
B29, 59
B29, Trade, 5.183, 185, B29, S10, 1
B29, Trade, 10.183, 129, S08, B29, 1
B29, Trade, 15.667, 195, B29, S02, 1
B29, Trade, 20.600, 188, S15, B29, 1
B29, Trade, 25.433, 155, S09, B29, 1
B29, Trade, 31.267, 187, B29, S10, 1
B29, Trade, 36.317, 172, S08, B29, 1
B29, Trade, 40.833, 152, S08, B29, 1
B29, Trade, 47.350, 144, S08, B29, 1
B29, Trade, 50.317, 197, B29, S09, 1
B29, Trade, 57.150, 179, S19, B29, 1
B29, Trade, 61.833, 173, B29, S05, 1
B29, Trade, 66.167, 177, S01, B29, 1
B29, Trade, 70.633, 186, B29, S06, 1
B29, Trade, 76.367, 156, S10, B29, 1
B29, Trade, 81.400, 142, S07, B29, 1
B29, Trade, 85.883, 182, S23, B29, 1
B29, Trade, 92.300, 155, S15, B29, 1
B29, Trade, 95.883, 148, S11, B29, 1
B29, Trade, 102.367, 185, S00, B29, 1
B29, Trade, 106.083, 183, B29, S20, 1
B29, Trade, 114.850, 161, B29, S09, 1
B29, Trade, 116.600, 184, B29, S22, 1
B29, Trade, 121.350, 125, S04, B29, 1
B29, Trade, 126.700, 167, S19, B29, 1
B29, Trade, 131.483, 140, S04, B29, 1
B29, Trade, 137.433, 174, S00, B29, 1
B29, Trade, 141.467, 154, S07, B29, 1
B29, Trade, 147.967, 152, S09, B29, 1
B29, Trade, 150.967, 147, S08, B29, 1
B29, Trade, 158.167, 182, S19, B29, 1
B29, Trade, 162.800, 173, S10, B29, 1
B29, Trade, 166.417, 179, S02, B29, 1
B29, Trade, 172.800, 185, S23, B29, 1
B29, Trade, 177.567, 187, S15, B29, 1
B29, Trade, 181.367, 169, B29, S10, 1
B29, Trade, 186.550, 198, B29, S23, 1
B29, Trade, 191.433, 182, B29, S08, 1
B29, Trade, 199.633, 158, B29, S01, 1
B29, Trade, 201.750, 166, S06, B29, 1
B29, Trade, 207.583, 163, B29, S08, 1
B29, Trade, 212.150, 173, S20, B29, 1
B29, Trade, 217.983, 163, S14, B29, 1
B29, Trade, 222.800, 196, B29, S15, 1
B29, Trade, 227.800, 170, S20, B29, 1
B29, Trade, 231.867, 149, S09, B29, 1
B29, Trade, 240.067, 173, S19, B29, 1
B29, Trade, 241.617, 172, S15, B29, 1
B29, Trade, 246.617, 200, B29, S07, 1
B29, Trade, 252.883, 158, S15, B29, 1
B29, Trade, 257.550, 173, B29, S10, 1
B29, Trade, 262.500, 163, S10, B29, 1
B29, Trade, 266.633, 189, B29, S01, 1
B29, Trade, 271.917, 192, B29, S02, 1
B29, Trade, 276.833, 134, S01, B29, 1
B29, Trade, 281.800, 194, B29, S10, 1
B29, Trade, 290.733, 167, S19, B29, 1
B29, Trade, 291.783, 194, B29, S04, 1
B29, Trade, 296.900, 195, B29, S23, 1
S00, 4
