B00, 0
B01, 0
B02, 0
B03, 0
B04, 0
B05, 0
B06, 0
B07, 1
B07, Trade, 146.533, 109, S01, B07, 1
B08, 1
B08, Trade, 66.200, 108, S01, B08, 1
B09, 0
B10, 2
B10, Trade, 161.083, 124, S06, B10, 1
B10, Trade, 251.283, 108, S01, B10, 1
B11, 0
B12, 7
B12, Trade, 15.267, 140, B12, S05, 1
B12, Trade, 36.867, 138, B12, S00, 1
B12, Trade, 50.767, 134, B12, S01, 1
B12, Trade, 65.983, 121, S06, B12, 1
B12, Trade, 136.517, 129, S07, B12, 1
B12, Trade, 202.667, 127, B12, S01, 1
B12, Trade, 278.217, 132, B12, S01, 1
B13, 2
B13, Trade, 55.667, 134, S03, B13, 1
B13, Trade, 164.300, 142, B13, S05, 1
B14, 7
B14, Trade, 5.483, 121, B14, S01, 1
B14, Trade, 28.583, 141, B14, S00, 1
B14, Trade, 30.600, 139, S11, B14, 1
B14, Trade, 40.467, 120, S02, B14, 1
B14, Trade, 108.433, 130, B14, S05, 1
B14, Trade, 125.900, 134, B14, S01, 1
B14, Trade, 181.967, 128, B14, S00, 1
B15, 9
B15, Trade, 24.283, 141, B15, S02, 1
B15, Trade, 26.417, 140, B15, S01, 1
B15, Trade, 73.650, 146, B15, S04, 1
B15, Trade, 80.767, 146, B15, S01, 1
B15, Trade, 148.433, 132, B15, S02, 1
B15, Trade, 160.983, 108, S01, B15, 1
B15, Trade, 196.233, 136, B15, S01, 1
B15, Trade, 210.100, 136, B15, S03, 1
B15, Trade, 232.117, 143, B15, S01, 1
B16, 2
B16, Trade, 33.883, 138, B16, S05, 1
B16, Trade, 166.317, 124, B16, S01, 1
B17, 5
B17, Trade, 60.633, 137, B17, S01, 1
B17, Trade, 107.567, 150, B17, S02, 1
B17, Trade, 153.217, 137, B17, S00, 1
B17, Trade, 211.367, 142, S11, B17, 1
B17, Trade, 277.100, 137, B17, S06, 1
B18, 38
B18, Trade, 12.217, 152, B18, S00, 1
B18, Trade, 21.367, 146, B18, S04, 1
B18, Trade, 33.600, 152, B18, S03, 1
B18, Trade, 37.250, 158, B18, S07, 1
B18, Trade, 41.333, 158, B18, S11, 1
B18, Trade, 57.433, 155, B18, S00, 1
B18, Trade, 84.900, 145, B18, S00, 1
B18, Trade, 86.017, 138, S11, B18, 1
B18, Trade, 100.067, 148, B18, S04, 1
B18, Trade, 101.100, 159, B18, S11, 1
B18, Trade, 106.000, 105, S01, B18, 1
B18, Trade, 117.867, 143, B18, S08, 1
B18, Trade, 124.017, 153, B18, S02, 1
B18, Trade, 126.600, 159, B18, S00, 1
B18, Trade, 131.683, 154, B18, S00, 1
B18, Trade, 144.167, 156, S00, B18, 1
B18, Trade, 148.117, 134, B18, S06, 1
B18, Trade, 151.317, 147, B18, S11, 1
B18, Trade, 157.533, 162, B18, S13, 1
B18, Trade, 166.767, 158, B18, S00, 1
B18, Trade, 175.000, 155, B18, S00, 1
B18, Trade, 176.250, 109, S01, B18, 1
B18, Trade, 186.267, 146, B18, S11, 1
B18, Trade, 192.967, 144, B18, S00, 1
B18, Trade, 203.733, 160, B18, S06, 1
B18, Trade, 206.317, 142, S11, B18, 1
B18, Trade, 213.050, 147, B18, S06, 1
B18, Trade, 218.300, 160, B18, S01, 1
B18, Trade, 224.983, 154, B18, S05, 1
B18, Trade, 226.433, 159, B18, S02, 1
B18, Trade, 232.017, 152, B18, S07, 1
B18, Trade, 238.117, 144, B18, S06, 1
B18, Trade, 258.450, 155, B18, S08, 1
B18, Trade, 263.017, 144, B18, S06, 1
B18, Trade, 266.300, 140, S11, B18, 1
B18, Trade, 285.783, 161, S16, B18, 1
B18, Trade, 286.717, 143, B18, S05, 1
B18, Trade, 291.950, 151, B18, S01, 1
B19, 7
B19, Trade, 7.483, 149, B19, S02, 1
B19, Trade, 13.817, 154, S06, B19, 1
B19, Trade, 31.183, 144, B19, S00, 1
B19, Trade, 103.550, 138, B19, S05, 1
B19, Trade, 187.317, 145, S04, B19, 1
B19, Trade, 243.567, 150, B19, S06, 1
B19, Trade, 254.300, 157, B19, S06, 1
B20, 8
B20, Trade, 67.267, 131, B20, S04, 1
B20, Trade, 92.733, 139, B20, S07, 1
B20, Trade, 116.050, 139, S11, B20, 1
B20, Trade, 140.683, 149, B20, S06, 1
B20, Trade, 142.600, 155, B20, S06, 1
B20, Trade, 169.950, 160, B20, S13, 1
B20, Trade, 216.000, 151, B20, S13, 1
B20, Trade, 294.933, 144, B20, S02, 1
B21, 30
B21, Trade, 12.367, 149, B21, S09, 1
B21, Trade, 32.967, 161, B21, S09, 1
B21, Trade, 41.483, 156, B21, S04, 1
B21, Trade, 46.067, 148, B21, S11, 1
B21, Trade, 54.283, 153, B21, S11, 1
B21, Trade, 56.617, 160, B21, S02, 1
B21, Trade, 62.483, 132, B21, S02, 1
B21, Trade, 76.650, 166, B21, S01, 1
B21, Trade, 87.533, 157, B21, S00, 1
B21, Trade, 103.050, 149, B21, S00, 1
B21, Trade, 107.450, 155, B21, S00, 1
B21, Trade, 122.100, 136, B21, S01, 1
B21, Trade, 128.683, 165, B21, S09, 1
B21, Trade, 145.017, 144, B21, S02, 1
B21, Trade, 158.383, 157, B21, S11, 1
B21, Trade, 173.050, 153, B21, S06, 1
B21, Trade, 195.267, 164, B21, S08, 1
B21, Trade, 197.000, 147, B21, S11, 1
B21, Trade, 220.317, 165, B21, S03, 1
B21, Trade, 221.800, 166, B21, S11, 1
B21, Trade, 230.667, 166, B21, S00, 1
B21, Trade, 234.250, 162, B21, S05, 1
B21, Trade, 241.450, 145, B21, S00, 1
B21, Trade, 246.600, 137, B21, S01, 1
B21, Trade, 254.233, 157, B21, S13, 1
B21, Trade, 257.900, 156, B21, S01, 1
B21, Trade, 264.767, 136, B21, S05, 1
B21, Trade, 269.133, 161, B21, S06, 1
B21, Trade, 273.950, 148, B21, S02, 1
B21, Trade, 282.867, 161, B21, S01, 1
B22, 30
B22, Trade, 5.667, 132, S09, B22, 1
