,0
0,2592.4095238095238
1,2705.9906542056074
2,2480.7023809523807
3,2766.361904761905
4,1769.9850746268658
5,2940.3271028037384
6,2850.7719298245615
7,2777.5
8,1999.3529411764705
9,1825.0675675675675
10,2050.931506849315
11,3158.3675213675215
12,2718.554347826087
13,3344.4444444444443
14,2022.716049382716
15,2190.662162162162
