,avg_profit1,run_n,k,F
555,562.4,2,64,1.3
881,15.0,2,64,1.5
83,265.3,2,64,1.7
358,518.3,2,64,2.0
660,505.4,2,128,0.0
844,433.5,2,128,0.2
6,118.6,2,128,0.4
563,663.0,2,128,0.6
327,593.1,2,128,0.8
196,392.9,2,128,1.1
603,13.2,2,128,1.3
370,254.4,2,128,1.5
146,377.3,2,128,1.7
825,273.0,2,128,2.0
128,557.5,2,256,0.0
388,419.7,2,256,0.2
425,551.8,2,256,0.4
796,151.4,2,256,0.6
861,297.7,2,256,0.8
792,209.9,2,256,1.1
395,352.5,2,256,1.3
300,586.1,2,256,1.5
589,363.5,2,256,1.7
409,375.2,2,256,2.0
126,366.2,2,512,0.0
227,427.0,2,512,0.2
504,541.5,2,512,0.4
831,267.6,2,512,0.6
616,570.6,2,512,0.8
248,472.9,2,512,1.1
157,635.0,2,512,1.3
874,365.9,2,512,1.5
762,365.3,2,512,1.7
759,647.9,2,512,2.0
816,177.8,2,1024,0.0
702,310.4,2,1024,0.2
359,276.3,2,1024,0.4
246,349.1,2,1024,0.6
274,256.4,2,1024,0.8
141,86.1,2,1024,1.1
349,245.1,2,1024,1.3
217,601.7,2,1024,1.5
201,236.5,2,1024,1.7
637,43.3,2,1024,2.0
53,415.9,3,4,0.0
819,320.1,3,4,0.2
84,300.0,3,4,0.4
352,243.8,3,4,0.6
754,663.9,3,4,0.8
506,84.1,3,4,1.1
719,484.5,3,4,1.3
35,456.3,3,4,1.5
516,387.6,3,4,1.7
376,624.2,3,4,2.0
151,205.2,3,8,0.0
223,53.2,3,8,0.2
736,489.3,3,8,0.4
61,210.3,3,8,0.6
181,417.6,3,8,0.8
318,278.2,3,8,1.1
413,370.2,3,8,1.3
48,199.0,3,8,1.5
561,124.4,3,8,1.7
119,114.2,3,8,2.0
8,519.4,3,16,0.0
479,481.1,3,16,0.2
510,215.8,3,16,0.4
14,306.3,3,16,0.6
85,139.8,3,16,0.8
12,312.3,3,16,1.1
172,296.9,3,16,1.3
50,259.4,3,16,1.5
10,566.6,3,16,1.7
870,349.4,3,16,2.0
390,478.3,3,32,0.0
437,85.6,3,32,0.2
471,199.6,3,32,0.4
29,264.5,3,32,0.6
846,98.8,3,32,0.8
593,272.4,3,32,1.1
322,343.5,3,32,1.3
445,281.3,3,32,1.5
345,167.4,3,32,1.7
116,98.8,3,32,2.0
134,241.7,3,64,0.0
254,486.5,3,64,0.2
480,113.4,3,64,0.4
835,447.4,3,64,0.6
337,162.2,3,64,0.8
401,503.3,3,64,1.1
7,926.6,3,64,1.3
485,178.9,3,64,1.5
433,303.4,3,64,1.7
623,283.9,3,64,2.0
418,170.1,3,128,0.0
219,730.2,3,128,0.2
705,302.9,3,128,0.4
562,541.9,3,128,0.6
723,323.7,3,128,0.8
777,421.8,3,128,1.1
285,304.6,3,128,1.3
400,251.8,3,128,1.5
443,685.6,3,128,1.7
708,224.3,3,128,2.0
760,439.3,3,256,0.0
73,319.3,3,256,0.2
779,204.9,3,256,0.4
43,597.7,3,256,0.6
269,339.0,3,256,0.8
16,424.8,3,256,1.1
470,203.5,3,256,1.3
13,160.0,3,256,1.5
871,382.2,3,256,1.7
577,294.4,3,256,2.0
615,370.0,3,512,0.0
155,351.7,3,512,0.2
468,321.2,3,512,0.4
355,424.3,3,512,0.6
823,219.2,3,512,0.8
550,601.6,3,512,1.1
873,390.7,3,512,1.3
853,208.4,3,512,1.5
120,352.4,3,512,1.7
263,270.2,3,512,2.0
869,36.2,3,1024,0.0
52,156.3,3,1024,0.2
802,120.8,3,1024,0.4
670,265.7,3,1024,0.6
775,275.8,3,1024,0.8
581,333.0,3,1024,1.1
40,226.3,3,1024,1.3
765,253.9,3,1024,1.5
572,314.9,3,1024,1.7
396,332.8,3,1024,2.0
610,220.2,4,4,0.0
4,353.8,4,4,0.2
868,458.8,4,4,0.4
165,432.1,4,4,0.6
678,284.2,4,4,0.8
79,301.7,4,4,1.1
721,318.5,4,4,1.3
72,309.5,4,4,1.5
407,430.6,4,4,1.7
553,377.8,4,4,2.0
507,612.6,4,8,0.0
397,226.3,4,8,0.2
732,248.9,4,8,0.4
596,360.6,4,8,0.6
380,340.4,4,8,0.8
758,80.4,4,8,1.1
854,214.7,4,8,1.3
374,293.3,4,8,1.5
703,341.9,4,8,1.7
852,588.1,4,8,2.0
92,155.4,4,16,0.0
539,470.4,4,16,0.2
560,383.2,4,16,0.4
817,544.1,4,16,0.6
772,385.9,4,16,0.8
664,185.1,4,16,1.1
229,486.6,4,16,1.3
115,253.4,4,16,1.5
494,275.3,4,16,1.7
764,226.3,4,16,2.0
245,332.8,4,32,0.0
849,255.2,4,32,0.2
317,384.7,4,32,0.4
195,256.1,4,32,0.6
537,259.8,4,32,0.8
432,63.8,4,32,1.1
800,38.9,4,32,1.3
686,302.7,4,32,1.5
296,559.6,4,32,1.7
805,765.2,4,32,2.0
308,441.9,4,64,0.0
316,261.0,4,64,0.2
1,288.1,4,64,0.4
714,481.4,4,64,0.6
197,179.9,4,64,0.8
