,trade,best_bid,best_offer,trader_name0,total_profit0,traders_number0,avg_profit0,trader_name1,total_profit1,traders_number1,avg_profit1,trader_name2,total_profit2,traders_number2,avg_profit2,trader_name3,total_profit3,traders_number3,avg_profit3,trader_name4,total_profit4,traders_number4,avg_profit4,trader_name5,total_profit5,traders_number5,avg_profit5,run_n,k,F
439,300.0,147.0,152.0, GVWY,5671.0,10.0,567.1, PRDE,3067.0,10.1,306.7, SHVR,5638.0,10.2,563.8, SNPR,1290.0,10.3,129.0, ZIC,5512.0,10.4,551.2, ZIP,6533.0,10.5,653.3,0,16,0.6
638,300.0,146.0,149.0, GVWY,4651.0,10.0,465.1, PRDE,1076.0,10.1,107.6, SHVR,12415.0,10.2,1241.5, SNPR,1916.0,10.3,191.6, ZIC,2493.0,10.4,249.3, ZIP,2902.0,10.5,290.2,0,16,0.8
858,300.0,138.0,142.0, GVWY,9408.0,10.0,940.8, PRDE,3764.0,10.1,376.4, SHVR,5873.0,10.2,587.3, SNPR,1517.0,10.3,151.7, ZIC,3206.0,10.4,320.6, ZIP,3059.0,10.5,305.9,0,16,1.1
140,300.0,137.0,144.0, GVWY,9600.0,10.0,960.0, PRDE,2091.0,10.1,209.1, SHVR,9174.0,10.2,917.4, SNPR,1156.0,10.3,115.6, ZIC,2192.0,10.4,219.2, ZIP,6114.0,10.5,611.4,0,16,1.3
781,300.0,155.0,162.0, GVWY,5423.0,10.0,542.3, PRDE,3092.0,10.1,309.2, SHVR,6105.0,10.2,610.5, SNPR,1510.0,10.3,151.0, ZIC,2986.0,10.4,298.6, ZIP,7326.0,10.5,732.6,0,16,1.5
643,300.0,134.0,142.0, GVWY,3304.0,10.0,330.4, PRDE,2968.0,10.1,296.8, SHVR,5831.0,10.2,583.1, SNPR,1349.0,10.3,134.9, ZIC,3137.0,10.4,313.7, ZIP,10958.0,10.5,1095.8,0,16,1.7
644,300.0,145.0,162.0, GVWY,5412.0,10.0,541.2, PRDE,2252.0,10.1,225.2, SHVR,10381.0,10.2,1038.1, SNPR,1599.0,10.3,159.9, ZIC,2186.0,10.4,218.6, ZIP,4427.0,10.5,442.7,0,16,2.0
790,300.0,143.0,155.0, GVWY,4177.0,10.0,417.7, PRDE,3137.0,10.1,313.7, SHVR,6889.0,10.2,688.9, SNPR,1644.0,10.3,164.4, ZIC,2385.0,10.4,238.5, ZIP,4392.0,10.5,439.2,0,32,0.0
659,300.0,144.0,168.0, GVWY,4971.0,10.0,497.1, PRDE,3702.0,10.1,370.2, SHVR,7457.0,10.2,745.7, SNPR,1505.0,10.3,150.5, ZIC,680.0,10.4,68.0, ZIP,8304.0,10.5,830.4,0,32,0.2
737,300.0,143.0,155.0, GVWY,4236.0,10.0,423.6, PRDE,3604.0,10.1,360.4, SHVR,7817.0,10.2,781.7, SNPR,1780.0,10.3,178.0, ZIC,3394.0,10.4,339.4, ZIP,6071.0,10.5,607.1,0,32,0.4
80,300.0,148.0,151.0, GVWY,4895.0,10.0,489.5, PRDE,2221.0,10.1,222.1, SHVR,2299.0,10.2,229.9, SNPR,2368.0,10.3,236.8, ZIC,3250.0,10.4,325.0, ZIP,7284.0,10.5,728.4,0,32,0.6
289,300.0,141.0,144.0, GVWY,6482.0,10.0,648.2, PRDE,3380.0,10.1,338.0, SHVR,5700.0,10.2,570.0, SNPR,776.0,10.3,77.6, ZIC,2725.0,10.4,272.5, ZIP,9267.0,10.5,926.7,0,32,0.8
696,300.0,145.0,149.0, GVWY,6820.0,10.0,682.0, PRDE,3311.0,10.1,331.1, SHVR,8220.0,10.2,822.0, SNPR,1193.0,10.3,119.3, ZIC,3332.0,10.4,333.2, ZIP,6933.0,10.5,693.3,0,32,1.1
731,300.0,124.0,155.0, GVWY,4767.0,10.0,476.7, PRDE,5868.0,10.1,586.8, SHVR,5952.0,10.2,595.2, SNPR,2020.0,10.3,202.0, ZIC,3344.0,10.4,334.4, ZIP,3764.0,10.5,376.4,0,32,1.3
