B00, 0
B01, 0
B02, 0
B03, 0
B04, 0
B05, 0
B06, 0
B07, 0
B08, 0
B09, 0
B10, 8
B10, Trade, 5.100, 117, S05, B10, 1
B10, Trade, 45.467, 126, S05, B10, 1
B10, Trade, 76.367, 125, B10, S01, 1
B10, Trade, 133.567, 134, B10, S01, 1
B10, Trade, 166.200, 132, B10, S05, 1
B10, Trade, 217.000, 133, B10, S05, 1
B10, Trade, 251.383, 117, S05, B10, 1
B10, Trade, 277.733, 130, S01, B10, 1
B11, 8
B11, Trade, 6.283, 134, B11, S01, 1
B11, Trade, 35.517, 134, B11, S05, 1
B11, Trade, 60.533, 132, B11, S05, 1
B11, Trade, 93.717, 135, B11, S04, 1
B11, Trade, 97.267, 133, B11, S02, 1
B11, Trade, 111.067, 134, B11, S07, 1
B11, Trade, 139.717, 128, B11, S01, 1
B11, Trade, 277.133, 129, B11, S02, 1
B12, 0
B13, 2
B13, Trade, 156.717, 125, B13, S05, 1
B13, Trade, 222.417, 142, B13, S05, 1
B14, 12
B14, Trade, 32.083, 141, B14, S02, 1
B14, Trade, 43.783, 137, B14, S09, 1
B14, Trade, 68.017, 139, B14, S05, 1
B14, Trade, 75.633, 119, S05, B14, 1
B14, Trade, 95.000, 147, B14, S11, 1
B14, Trade, 148.550, 144, B14, S08, 1
B14, Trade, 208.917, 144, B14, S04, 1
B14, Trade, 211.617, 145, B14, S06, 1
B14, Trade, 243.233, 141, B14, S05, 1
B14, Trade, 251.733, 122, S01, B14, 1
B14, Trade, 267.133, 118, B14, S02, 1
B14, Trade, 281.467, 147, B14, S09, 1
B15, 4
B15, Trade, 32.333, 125, B15, S01, 1
B15, Trade, 190.283, 138, B15, S02, 1
B15, Trade, 215.017, 144, B15, S09, 1
B15, Trade, 265.967, 145, B15, S04, 1
B16, 3
B16, Trade, 228.700, 133, B16, S06, 1
B16, Trade, 246.400, 130, S05, B16, 1
B16, Trade, 257.117, 151, B16, S05, 1
B17, 3
B17, Trade, 38.400, 152, B17, S02, 1
B17, Trade, 105.750, 123, B17, S05, 1
B17, Trade, 264.850, 147, B17, S06, 1
B18, 25
B18, Trade, 9.433, 161, B18, S04, 1
B18, Trade, 11.300, 147, S08, B18, 1
B18, Trade, 26.450, 154, B18, S08, 1
B18, Trade, 47.267, 162, B18, S15, 1
B18, Trade, 70.383, 141, B18, S02, 1
B18, Trade, 95.867, 150, S08, B18, 1
B18, Trade, 110.517, 153, B18, S06, 1
B18, Trade, 117.400, 139, B18, S07, 1
B18, Trade, 127.650, 132, B18, S01, 1
B18, Trade, 133.217, 157, B18, S08, 1
B18, Trade, 145.383, 160, B18, S01, 1
B18, Trade, 152.050, 145, B18, S10, 1
B18, Trade, 164.417, 151, S01, B18, 1
B18, Trade, 176.450, 141, B18, S01, 1
B18, Trade, 182.367, 150, S11, B18, 1
B18, Trade, 197.600, 136, B18, S01, 1
B18, Trade, 223.517, 152, B18, S06, 1
B18, Trade, 227.650, 159, B18, S15, 1
B18, Trade, 232.917, 151, B18, S05, 1
B18, Trade, 250.183, 147, S06, B18, 1
B18, Trade, 259.517, 158, B18, S11, 1
B18, Trade, 269.417, 161, S11, B18, 1
B18, Trade, 277.467, 142, S09, B18, 1
B18, Trade, 288.200, 158, B18, S09, 1
B18, Trade, 295.300, 146, B18, S09, 1
B19, 24
B19, Trade, 21.417, 151, B19, S05, 1
B19, Trade, 41.850, 143, B19, S05, 1
B19, Trade, 73.650, 151, B19, S04, 1
B19, Trade, 93.483, 148, B19, S01, 1
B19, Trade, 101.783, 152, B19, S02, 1
B19, Trade, 133.433, 146, B19, S06, 1
B19, Trade, 144.350, 151, B19, S06, 1
B19, Trade, 148.467, 153, B19, S05, 1
B19, Trade, 162.067, 144, B19, S02, 1
B19, Trade, 167.883, 140, B19, S04, 1
B19, Trade, 175.700, 151, B19, S15, 1
B19, Trade, 187.217, 150, B19, S05, 1
B19, Trade, 192.350, 153, B19, S06, 1
B19, Trade, 197.267, 145, B19, S09, 1
B19, Trade, 202.050, 152, B19, S02, 1
B19, Trade, 209.817, 141, B19, S06, 1
B19, Trade, 213.567, 134, B19, S02, 1
B19, Trade, 233.517, 151, B19, S02, 1
B19, Trade, 244.350, 130, B19, S01, 1
B19, Trade, 249.650, 144, B19, S07, 1
B19, Trade, 263.383, 154, B19, S15, 1
B19, Trade, 274.600, 149, B19, S03, 1
B19, Trade, 293.083, 151, B19, S10, 1
B19, Trade, 298.050, 134, B19, S05, 1
B20, 14
B20, Trade, 21.350, 160, B20, S09, 1
B20, Trade, 55.150, 163, B20, S06, 1
B20, Trade, 69.533, 155, S07, B20, 1
B20, Trade, 90.883, 160, B20, S09, 1
B20, Trade, 96.133, 146, B20, S06, 1
B20, Trade, 118.617, 156, B20, S04, 1
B20, Trade, 132.300, 154, B20, S02, 1
B20, Trade, 137.783, 160, S09, B20, 1
B20, Trade, 172.950, 160, B20, S08, 1
B20, Trade, 182.500, 160, S13, B20, 1
B20, Trade, 239.267, 148, S08, B20, 1
B20, Trade, 250.250, 148, S11, B20, 1
B20, Trade, 253.000, 166, B20, S07, 1
B20, Trade, 256.650, 162, B20, S09, 1
B21, 20
B21, Trade, 9.067, 157, S15, B21, 1
B21, Trade, 13.300, 154, S15, B21, 1
B21, Trade, 18.233, 153, S09, B21, 1
B21, Trade, 41.917, 158, S04, B21, 1
B21, Trade, 57.517, 166, B21, S02, 1
B21, Trade, 64.800, 159, B21, S02, 1
B21, Trade, 81.133, 167, B21, S01, 1
B21, Trade, 87.433, 139, B21, S08, 1
B21, Trade, 96.200, 162, S05, B21, 1
B21, Trade, 111.783, 152, S09, B21, 1
B21, Trade, 116.000, 140, B21, S06, 1
B21, Trade, 124.567, 167, S15, B21, 1
B21, Trade, 138.617, 159, B21, S03, 1
B21, Trade, 146.433, 166, B21, S09, 1
B21, Trade, 188.150, 157, S10, B21, 1
B21, Trade, 192.233, 156, B21, S09, 1
B21, Trade, 199.083, 146, S08, B21, 1
B21, Trade, 223.367, 157, S02, B21, 1
B21, Trade, 265.283, 164, S17, B21, 1
B21, Trade, 269.033, 145, B21, S01, 1
B22, 37
B22, Trade, 5.600, 142, S02, B22, 1
B22, Trade, 19.100, 140, S02, B22, 1
B22, Trade, 22.250, 170, S02, B22, 1
B22, Trade, 31.350, 159, S06, B22, 1
B22, Trade, 36.000, 137, S11, B22, 1
B22, Trade, 43.350, 143, B22, S01, 1
B22, Trade, 46.200, 157, B22, S07, 1
B22, Trade, 50.533, 121, S05, B22, 1
B22, Trade, 73.417, 165, S09, B22, 1
B22, Trade, 79.900, 152, B22, S10, 1
B22, Trade, 81.433, 153, B22, S05, 1
B22, Trade, 86.650, 168, S10, B22, 1
B22, Trade, 101.367, 165, B22, S15, 1
B22, Trade, 108.033, 174, B22, S07, 1
B22, Trade, 110.867, 127, S05, B22, 1
B22, Trade, 127.083, 162, B22, S05, 1
B22, Trade, 133.550, 170, S07, B22, 1
B22, Trade, 138.133, 172, B22, S08, 1
B22, Trade, 141.200, 156, S15, B22, 1
B22, Trade, 151.417, 160, S08, B22, 1
B22, Trade, 156.767, 129, S01, B22, 1
B22, Trade, 162.383, 154, S15, B22, 1
B22, Trade, 168.550, 132, S09, B22, 1
B22, Trade, 176.350, 175, B22, S05, 1
B22, Trade, 183.000, 159, B22, S05, 1
B22, Trade, 186.250, 160, B22, S15, 1
B22, Trade, 192.950, 144, B22, S08, 1
B22, Trade, 209.000, 142, B22, S02, 1
B22, Trade, 222.567, 152, B22, S01, 1
B22, Trade, 228.250, 141, B22, S05, 1
B22, Trade, 235.183, 151, S11, B22, 1
B22, Trade, 239.900, 169, B22, S07, 1
B22, Trade, 266.650, 170, B22, S09, 1
B22, Trade, 275.533, 147, B22, S06, 1
B22, Trade, 283.567, 156, S04, B22, 1
B22, Trade, 289.950, 168, B22, S02, 1
B22, Trade, 299.100, 147, B22, S06, 1
B23, 57
B23, Trade, 5.450, 166, S13, B23, 1
B23, Trade, 11.050, 146, S02, B23, 1
B23, Trade, 17.267, 176, B23, S15, 1
B23, Trade, 26.167, 158, B23, S06, 1
B23, Trade, 30.783, 174, S00, B23, 1
B23, Trade, 35.550, 166, S01, B23, 1
B23, Trade, 42.350, 179, B23, S11, 1
B23, Trade, 45.933, 161, S01, B23, 1
B23, Trade, 51.317, 161, S01, B23, 1
B23, Trade, 56.850, 169, B23, S10, 1
B23, Trade, 62.250, 167, B23, S01, 1
B23, Trade, 66.100, 176, B23, S09, 1
B23, Trade, 73.800, 153, S15, B23, 1
B23, Trade, 76.283, 151, S08, B23, 1
B23, Trade, 80.917, 177, B23, S02, 1
B23, Trade, 86.283, 171, S09, B23, 1
B23, Trade, 92.983, 170, B23, S05, 1
B23, Trade, 96.067, 153, S09, B23, 1
B23, Trade, 101.650, 167, B23, S05, 1
B23, Trade, 106.183, 156, S02, B23, 1
B23, Trade, 116.833, 176, B23, S11, 1
B23, Trade, 122.867, 165, S06, B23, 1
B23, Trade, 127.633, 176, B23, S07, 1
B23, Trade, 132.233, 175, B23, S16, 1
B23, Trade, 137.467, 158, S11, B23, 1
B23, Trade, 141.550, 171, S10, B23, 1
B23, Trade, 148.900, 165, S13, B23, 1
B23, Trade, 152.400, 144, S09, B23, 1
B23, Trade, 159.183, 173, B23, S09, 1
B23, Trade, 162.050, 163, B23, S05, 1
B23, Trade, 167.317, 148, B23, S06, 1
B23, Trade, 173.617, 175, B23, S07, 1
B23, Trade, 178.200, 172, B23, S15, 1
B23, Trade, 181.383, 169, B23, S06, 1
B23, Trade, 189.683, 177, B23, S08, 1
B23, Trade, 194.017, 170, B23, S01, 1
B23, Trade, 196.483, 160, B23, S06, 1
B23, Trade, 201.767, 175, B23, S05, 1
B23, Trade, 208.633, 168, B23, S10, 1
B23, Trade, 211.117, 167, B23, S01, 1
B23, Trade, 218.667, 175, S00, B23, 1
B23, Trade, 221.933, 173, B23, S10, 1
B23, Trade, 227.483, 174, S21, B23, 1
B23, Trade, 233.217, 172, B23, S15, 1
B23, Trade, 236.417, 163, B23, S05, 1
B23, Trade, 241.667, 163, B23, S10, 1
B23, Trade, 248.667, 163, S15, B23, 1
B23, Trade, 252.267, 166, B23, S02, 1
B23, Trade, 256.817, 171, B23, S08, 1
B23, Trade, 262.417, 172, B23, S09, 1
B23, Trade, 269.167, 156, S08, B23, 1
B23, Trade, 273.183, 160, B23, S08, 1
B23, Trade, 278.250, 177, B23, S08, 1
B23, Trade, 284.183, 175, B23, S15, 1
B23, Trade, 287.033, 173, B23, S07, 1
B23, Trade, 293.600, 156, B23, S15, 1
B23, Trade, 298.317, 171, S02, B23, 1
B24, 15
B24, Trade, 30.517, 125, S05, B24, 1
B24, Trade, 84.850, 135, B24, S04, 1
B24, Trade, 104.000, 151, S06, B24, 1
B24, Trade, 140.617, 157, B24, S04, 1
B24, Trade, 141.583, 169, B24, S05, 1
B24, Trade, 163.667, 144, S09, B24, 1
B24, Trade, 166.100, 134, S10, B24, 1
B24, Trade, 185.350, 160, B24, S01, 1
