,trade,best_bid,best_offer,trader_name0,total_profit0,traders_number0,avg_profit0,trader_name1,total_profit1,traders_number1,avg_profit1,trader_name2,total_profit2,traders_number2,avg_profit2,trader_name3,total_profit3,traders_number3,avg_profit3,trader_name4,total_profit4,traders_number4,avg_profit4,trader_name5,total_profit5,traders_number5,avg_profit5,run_n,k,F
655,300.0,178.0,193.0, GVWY,12980.0,10.0,1298.0, PRDE,655.0,10.1,65.5, SHVR,10089.0,10.2,1008.9, SNPR,680.0,10.3,68.0, ZIC,4303.0,10.4,430.3, ZIP,4723.0,10.5,472.3,0,16,0.6
891,300.0,176.0,192.0, GVWY,7152.0,10.0,715.2, PRDE,6330.0,10.1,633.0, SHVR,10311.0,10.2,1031.1, SNPR,1115.0,10.3,111.5, ZIC,1902.0,10.4,190.2, ZIP,7187.0,10.5,718.7,0,16,0.8
602,300.0,175.0,180.0, GVWY,6088.0,10.0,608.8, PRDE,4466.0,10.1,446.6, SHVR,4956.0,10.2,495.6, SNPR,1260.0,10.3,126.0, ZIC,3604.0,10.4,360.4, ZIP,6941.0,10.5,694.1,0,16,1.1
188,300.0,176.0,188.0, GVWY,11159.0,10.0,1115.9, PRDE,1325.0,10.1,132.5, SHVR,6503.0,10.2,650.3, SNPR,1969.0,10.3,196.9, ZIC,2124.0,10.4,212.4, ZIP,4032.0,10.5,403.2,0,16,1.3
542,300.0,183.0,187.0, GVWY,9083.0,10.0,908.3, PRDE,2545.0,10.1,254.5, SHVR,7127.0,10.2,712.7, SNPR,1722.0,10.3,172.2, ZIC,494.0,10.4,49.4, ZIP,11259.0,10.5,1125.9,0,16,1.5
112,300.0,174.0,185.0, GVWY,9749.0,10.0,974.9, PRDE,4401.0,10.1,440.1, SHVR,3595.0,10.2,359.5, SNPR,740.0,10.3,74.0, ZIC,5708.0,10.4,570.8, ZIP,6341.0,10.5,634.1,0,16,1.7
525,300.0,182.0,184.0, GVWY,4673.0,10.0,467.3, PRDE,7166.0,10.1,716.6, SHVR,3831.0,10.2,383.1, SNPR,1896.0,10.3,189.6, ZIC,1447.0,10.4,144.7, ZIP,7632.0,10.5,763.2,0,16,2.0
625,300.0,191.0,194.0, GVWY,5657.0,10.0,565.7, PRDE,3096.0,10.1,309.6, SHVR,4691.0,10.2,469.1, SNPR,1231.0,10.3,123.1, ZIC,5817.0,10.4,581.7, ZIP,4877.0,10.5,487.7,0,32,0.0
360,300.0,166.0,193.0, GVWY,5763.0,10.0,576.3, PRDE,8575.0,10.1,857.5, SHVR,5872.0,10.2,587.2, SNPR,927.0,10.3,92.7, ZIC,4961.0,10.4,496.1, ZIP,5724.0,10.5,572.4,0,32,0.2
182,300.0,168.0,170.0, GVWY,9157.0,10.0,915.7, PRDE,4435.0,10.1,443.5, SHVR,6694.0,10.2,669.4, SNPR,645.0,10.3,64.5, ZIC,3936.0,10.4,393.6, ZIP,6164.0,10.5,616.4,0,32,0.4
19,300.0,176.0,188.0, GVWY,7535.0,10.0,753.5, PRDE,6588.0,10.1,658.8, SHVR,2056.0,10.2,205.6, SNPR,1426.0,10.3,142.6, ZIC,3186.0,10.4,318.6, ZIP,8206.0,10.5,820.6,0,32,0.6
274,300.0,167.0,188.0, GVWY,9105.0,10.0,910.5, PRDE,5388.0,10.1,538.8, SHVR,7778.0,10.2,777.8, SNPR,1246.0,10.3,124.6, ZIC,2919.0,10.4,291.9, ZIP,5545.0,10.5,554.5,0,32,0.8
76,300.0,168.0,174.0, GVWY,5511.0,10.0,551.1, PRDE,1838.0,10.1,183.8, SHVR,9251.0,10.2,925.1, SNPR,1309.0,10.3,130.9, ZIC,6321.0,10.4,632.1, ZIP,5049.0,10.5,504.9,0,32,1.1
679,300.0,168.0,182.0, GVWY,6342.0,10.0,634.2, PRDE,2799.0,10.1,279.9, SHVR,6700.0,10.2,670.0, SNPR,2493.0,10.3,249.3, ZIC,4577.0,10.4,457.7, ZIP,4117.0,10.5,411.7,0,32,1.3
450,300.0,173.0,180.0, GVWY,5558.0,10.0,555.8, PRDE,1163.0,10.1,116.3, SHVR,8280.0,10.2,828.0, SNPR,1076.0,10.3,107.6, ZIC,8297.0,10.4,829.7, ZIP,6148.0,10.5,614.8,0,32,1.5
598,300.0,176.0,180.0, GVWY,7772.0,10.0,777.2, PRDE,3214.0,10.1,321.4, SHVR,7268.0,10.2,726.8, SNPR,653.0,10.3,65.3, ZIC,1731.0,10.4,173.1, ZIP,10524.0,10.5,1052.4,0,32,1.7
724,300.0,158.0,192.0, GVWY,7122.0,10.0,712.2, PRDE,4243.0,10.1,424.3, SHVR,8676.0,10.2,867.6, SNPR,1876.0,10.3,187.6, ZIC,966.0,10.4,96.6, ZIP,6472.0,10.5,647.2,0,32,2.0
845,300.0,170.0,174.0, GVWY,8444.0,10.0,844.4, PRDE,2417.0,10.1,241.7, SHVR,4737.0,10.2,473.7, SNPR,1728.0,10.3,172.8, ZIC,2138.0,10.4,213.8, ZIP,10336.0,10.5,1033.6,0,64,0.0
392,300.0,187.0,202.0, GVWY,8768.0,10.0,876.8, PRDE,4051.0,10.1,405.1, SHVR,3390.0,10.2,339.0, SNPR,1171.0,10.3,117.1, ZIC,4375.0,10.4,437.5, ZIP,7606.0,10.5,760.6,0,64,0.2
88,300.0,173.0,209.0, GVWY,3612.0,10.0,361.2, PRDE,5142.0,10.1,514.2, SHVR,2530.0,10.2,253.0, SNPR,1796.0,10.3,179.6, ZIC,4459.0,10.4,445.9, ZIP,6615.0,10.5,661.5,0,64,0.4
567,300.0,163.0,181.0, GVWY,2839.0,10.0,283.9, PRDE,5038.0,10.1,503.8, SHVR,6280.0,10.2,628.0, SNPR,1194.0,10.3,119.4, ZIC,4821.0,10.4,482.1, ZIP,9351.0,10.5,935.1,0,64,0.6
270,300.0,171.0,177.0, GVWY,7720.0,10.0,772.0, PRDE,3351.0,10.1,335.1, SHVR,8539.0,10.2,853.9, SNPR,1892.0,10.3,189.2, ZIC,1248.0,10.4,124.8, ZIP,7076.0,10.5,707.6,0,64,0.8
773,300.0,155.0,157.0, GVWY,5024.0,10.0,502.4, PRDE,4140.0,10.1,414.0, SHVR,4404.0,10.2,440.4, SNPR,2523.0,10.3,252.3, ZIC,3468.0,10.4,346.8, ZIP,5083.0,10.5,508.3,0,64,1.1
852,300.0,174.0,192.0, GVWY,11244.0,10.0,1124.4, PRDE,2548.0,10.1,254.8, SHVR,7500.0,10.2,750.0, SNPR,651.0,10.3,65.1, ZIC,3478.0,10.4,347.8, ZIP,7215.0,10.5,721.5,0,64,1.3
657,300.0,193.0,195.0, GVWY,4834.0,10.0,483.4, PRDE,4997.0,10.1,499.7, SHVR,7743.0,10.2,774.3, SNPR,672.0,10.3,67.2, ZIC,4946.0,10.4,494.6, ZIP,4192.0,10.5,419.2,0,64,1.5
297,300.0,172.0,174.0, GVWY,9782.0,10.0,978.2, PRDE,2509.0,10.1,250.9, SHVR,13072.0,10.2,1307.2, SNPR,690.0,10.3,69.0, ZIC,1130.0,10.4,113.0, ZIP,7911.0,10.5,791.1,0,64,1.7
826,300.0,174.0,193.0, GVWY,10906.0,10.0,1090.6, PRDE,2388.0,10.1,238.8, SHVR,7717.0,10.2,771.7, SNPR,954.0,10.3,95.4, ZIC,4024.0,10.4,402.4, ZIP,6171.0,10.5,617.1,0,64,2.0
575,300.0,180.0,198.0, GVWY,6053.0,10.0,605.3, PRDE,4727.0,10.1,472.7, SHVR,3862.0,10.2,386.2, SNPR,765.0,10.3,76.5, ZIC,6782.0,10.4,678.2, ZIP,6306.0,10.5,630.6,0,128,0.0
57,300.0,181.0,185.0, GVWY,9798.0,10.0,979.8, PRDE,3583.0,10.1,358.3, SHVR,3751.0,10.2,375.1, SNPR,733.0,10.3,73.3, ZIC,4848.0,10.4,484.8, ZIP,8471.0,10.5,847.1,0,128,0.2
788,300.0,174.0,198.0, GVWY,12053.0,10.0,1205.3, PRDE,1380.0,10.1,138.0, SHVR,9931.0,10.2,993.1, SNPR,1306.0,10.3,130.6, ZIC,1105.0,10.4,110.5, ZIP,6788.0,10.5,678.8,0,128,0.4
504,300.0,178.0,181.0, GVWY,5855.0,10.0,585.5, PRDE,3636.0,10.1,363.6, SHVR,6881.0,10.2,688.1, SNPR,1062.0,10.3,106.2, ZIC,4721.0,10.4,472.1, ZIP,3429.0,10.5,342.9,0,128,0.6
