,0
0,3144.532110091743
1,2690.945652173913
2,2478.3493975903616
3,3198.3671875
4,2479.588888888889
5,2658.813953488372
6,3416.0785714285716
7,2536.421568627451
8,2275.020618556701
9,2820.875
10,2954.6548672566373
