,avg_profit1,run_n,k,F
340,361.9,2,64,1.3
331,512.8,2,64,1.5
844,384.1,2,64,1.7
744,90.5,2,64,2.0
343,883.4,2,128,0.0
505,361.0,2,128,0.2
647,173.0,2,128,0.4
386,189.6,2,128,0.6
375,242.3,2,128,0.8
752,256.1,2,128,1.1
435,182.2,2,128,1.3
862,369.7,2,128,1.5
793,436.2,2,128,1.7
892,630.7,2,128,2.0
689,430.8,2,256,0.0
482,368.4,2,256,0.2
82,430.9,2,256,0.4
728,537.7,2,256,0.6
548,290.5,2,256,0.8
738,763.0,2,256,1.1
470,349.3,2,256,1.3
747,162.0,2,256,1.5
391,388.4,2,256,1.7
113,492.5,2,256,2.0
554,266.2,2,512,0.0
779,309.8,2,512,0.2
792,331.5,2,512,0.4
750,462.0,2,512,0.6
625,377.6,2,512,0.8
856,491.3,2,512,1.1
397,475.8,2,512,1.3
616,175.0,2,512,1.5
260,345.1,2,512,1.7
16,393.6,2,512,2.0
378,215.1,2,1024,0.0
361,475.5,2,1024,0.2
705,256.1,2,1024,0.4
788,530.9,2,1024,0.6
109,264.6,2,1024,0.8
463,328.9,2,1024,1.1
880,196.0,2,1024,1.3
510,449.4,2,1024,1.5
273,447.5,2,1024,1.7
883,355.6,2,1024,2.0
684,565.5,3,4,0.0
377,255.1,3,4,0.2
11,696.8,3,4,0.4
660,209.9,3,4,0.6
871,131.1,3,4,0.8
809,28.7,3,4,1.1
405,197.7,3,4,1.3
257,273.0,3,4,1.5
605,732.1,3,4,1.7
97,96.9,3,4,2.0
833,419.5,3,8,0.0
707,463.4,3,8,0.2
687,106.9,3,8,0.4
333,407.9,3,8,0.6
96,331.7,3,8,0.8
878,248.6,3,8,1.1
562,365.0,3,8,1.3
553,432.9,3,8,1.5
538,385.4,3,8,1.7
526,865.8,3,8,2.0
356,406.7,3,16,0.0
337,82.6,3,16,0.2
739,279.7,3,16,0.4
265,442.2,3,16,0.6
245,229.6,3,16,0.8
631,308.1,3,16,1.1
648,585.8,3,16,1.3
477,204.6,3,16,1.5
404,198.7,3,16,1.7
507,357.4,3,16,2.0
645,422.5,3,32,0.0
196,189.7,3,32,0.2
214,599.4,3,32,0.4
414,496.9,3,32,0.6
198,313.9,3,32,0.8
717,556.4,3,32,1.1
438,321.9,3,32,1.3
532,586.0,3,32,1.5
43,618.6,3,32,1.7
888,561.0,3,32,2.0
249,65.5,3,64,0.0
714,337.7,3,64,0.2
667,403.3,3,64,0.4
633,153.0,3,64,0.6
437,334.4,3,64,0.8
826,142.1,3,64,1.1
570,564.6,3,64,1.3
662,224.8,3,64,1.5
872,423.9,3,64,1.7
247,79.0,3,64,2.0
773,271.2,3,128,0.0
34,364.0,3,128,0.2
324,80.9,3,128,0.4
578,329.1,3,128,0.6
536,316.2,3,128,0.8
719,256.7,3,128,1.1
44,250.2,3,128,1.3
255,131.3,3,128,1.5
89,168.4,3,128,1.7
363,442.7,3,128,2.0
486,55.9,3,256,0.0
53,476.4,3,256,0.2
297,357.4,3,256,0.4
20,272.4,3,256,0.6
74,421.6,3,256,0.8
137,78.6,3,256,1.1
549,299.7,3,256,1.3
582,278.5,3,256,1.5
329,199.6,3,256,1.7
768,239.5,3,256,2.0
207,276.6,3,512,0.0
720,98.1,3,512,0.2
350,452.4,3,512,0.4
808,292.7,3,512,0.6
384,456.4,3,512,0.8
261,91.9,3,512,1.1
873,476.5,3,512,1.3
812,378.8,3,512,1.5
210,193.5,3,512,1.7
439,353.4,3,512,2.0
292,473.3,3,1024,0.0
116,273.0,3,1024,0.2
479,211.6,3,1024,0.4
29,258.9,3,1024,0.6
524,589.3,3,1024,0.8
154,320.4,3,1024,1.1
193,436.8,3,1024,1.3
5,517.1,3,1024,1.5
797,380.1,3,1024,1.7
359,436.9,3,1024,2.0
221,394.4,4,4,0.0
679,470.1,4,4,0.2
787,65.3,4,4,0.4
618,293.5,4,4,0.6
736,228.5,4,4,0.8
796,256.6,4,4,1.1
380,588.0,4,4,1.3
276,372.3,4,4,1.5
632,170.0,4,4,1.7
884,289.1,4,4,2.0
382,325.0,4,8,0.0
355,476.3,4,8,0.2
452,426.7,4,8,0.4
816,370.1,4,8,0.6
237,48.0,4,8,0.8
533,120.8,4,8,1.1
743,300.4,4,8,1.3
406,457.8,4,8,1.5
200,227.3,4,8,1.7
807,286.2,4,8,2.0
398,286.2,4,16,0.0
607,310.0,4,16,0.2
42,206.1,4,16,0.4
696,183.2,4,16,0.6
472,288.0,4,16,0.8
374,437.2,4,16,1.1
819,132.4,4,16,1.3
448,381.9,4,16,1.5
160,256.7,4,16,1.7
61,495.4,4,16,2.0
664,54.3,4,32,0.0
840,234.2,4,32,0.2
650,586.3,4,32,0.4
580,394.1,4,32,0.6
581,261.7,4,32,0.8
