,avg_profit1,run_n,k,F
488,364.0,2,64,1.3
157,151.0,2,64,1.5
890,199.7,2,64,1.7
63,378.5,2,64,2.0
164,441.4,2,128,0.0
443,974.0,2,128,0.2
301,119.5,2,128,0.4
167,745.3,2,128,0.6
834,332.7,2,128,0.8
875,512.1,2,128,1.1
356,688.0,2,128,1.3
237,426.8,2,128,1.5
765,134.5,2,128,1.7
231,660.7,2,128,2.0
609,296.2,2,256,0.0
369,342.2,2,256,0.2
893,298.5,2,256,0.4
98,156.2,2,256,0.6
712,331.7,2,256,0.8
291,345.6,2,256,1.1
13,131.2,2,256,1.3
185,430.3,2,256,1.5
707,239.0,2,256,1.7
887,446.8,2,256,2.0
390,259.8,2,512,0.0
349,332.5,2,512,0.2
536,596.0,2,512,0.4
732,323.6,2,512,0.6
312,315.3,2,512,0.8
137,421.7,2,512,1.1
44,343.0,2,512,1.3
825,471.0,2,512,1.5
279,242.1,2,512,1.7
181,337.0,2,512,2.0
14,366.9,2,1024,0.0
529,158.0,2,1024,0.2
254,256.3,2,1024,0.4
293,491.9,2,1024,0.6
114,797.3,2,1024,0.8
815,392.8,2,1024,1.1
630,357.3,2,1024,1.3
223,398.4,2,1024,1.5
577,156.0,2,1024,1.7
817,437.0,2,1024,2.0
586,327.6,3,4,0.0
457,119.2,3,4,0.2
611,255.6,3,4,0.4
562,582.3,3,4,0.6
585,305.2,3,4,0.8
497,231.3,3,4,1.1
708,347.4,3,4,1.3
506,244.8,3,4,1.5
533,297.8,3,4,1.7
844,243.1,3,4,2.0
872,258.7,3,8,0.0
149,429.0,3,8,0.2
50,311.3,3,8,0.4
493,524.2,3,8,0.6
758,131.1,3,8,0.8
677,139.2,3,8,1.1
233,231.9,3,8,1.3
146,468.1,3,8,1.5
410,305.8,3,8,1.7
400,551.6,3,8,2.0
138,226.4,3,16,0.0
200,635.1,3,16,0.2
433,522.3,3,16,0.4
798,320.0,3,16,0.6
688,398.4,3,16,0.8
431,515.0,3,16,1.1
494,373.9,3,16,1.3
713,77.6,3,16,1.5
811,463.3,3,16,1.7
777,151.5,3,16,2.0
668,671.0,3,32,0.0
161,662.8,3,32,0.2
778,462.0,3,32,0.4
120,103.4,3,32,0.6
473,328.3,3,32,0.8
754,490.4,3,32,1.1
258,292.3,3,32,1.3
132,228.5,3,32,1.5
468,370.0,3,32,1.7
597,628.3,3,32,2.0
593,218.8,3,64,0.0
229,519.8,3,64,0.2
698,125.4,3,64,0.4
173,278.4,3,64,0.6
152,500.8,3,64,0.8
129,280.7,3,64,1.1
658,557.3,3,64,1.3
151,350.9,3,64,1.5
321,243.6,3,64,1.7
806,429.8,3,64,2.0
687,218.7,3,128,0.0
302,291.5,3,128,0.2
703,363.6,3,128,0.4
405,262.3,3,128,0.6
489,645.9,3,128,0.8
604,207.2,3,128,1.1
626,761.4,3,128,1.3
117,533.1,3,128,1.5
119,239.0,3,128,1.7
179,154.9,3,128,2.0
60,249.5,3,256,0.0
169,350.4,3,256,0.2
720,288.0,3,256,0.4
846,87.5,3,256,0.6
445,266.6,3,256,0.8
895,680.9,3,256,1.1
514,563.5,3,256,1.3
205,524.3,3,256,1.5
447,410.4,3,256,1.7
150,362.3,3,256,2.0
404,183.5,3,512,0.0
186,616.4,3,512,0.2
899,387.4,3,512,0.4
820,605.9,3,512,0.6
548,452.0,3,512,0.8
456,437.9,3,512,1.1
198,482.6,3,512,1.3
225,598.3,3,512,1.5
665,436.5,3,512,1.7
353,523.5,3,512,2.0
323,407.1,3,1024,0.0
836,342.9,3,1024,0.2
762,613.4,3,1024,0.4
165,289.6,3,1024,0.6
766,270.2,3,1024,0.8
47,273.3,3,1024,1.1
154,199.7,3,1024,1.3
21,486.1,3,1024,1.5
783,579.9,3,1024,1.7
696,186.3,3,1024,2.0
141,367.4,4,4,0.0
627,566.3,4,4,0.2
589,316.3,4,4,0.4
818,390.2,4,4,0.6
241,103.5,4,4,0.8
500,449.3,4,4,1.1
113,185.0,4,4,1.3
333,429.7,4,4,1.5
290,450.1,4,4,1.7
346,352.3,4,4,2.0
368,550.3,4,8,0.0
680,369.7,4,8,0.2
115,518.2,4,8,0.4
756,514.4,4,8,0.6
105,409.2,4,8,0.8
65,320.1,4,8,1.1
145,616.4,4,8,1.3
208,191.4,4,8,1.5
540,436.0,4,8,1.7
434,226.6,4,8,2.0
663,465.0,4,16,0.0
27,293.6,4,16,0.2
650,790.6,4,16,0.4
28,165.1,4,16,0.6
73,322.7,4,16,0.8
654,323.1,4,16,1.1
253,414.5,4,16,1.3
211,266.1,4,16,1.5
463,681.8,4,16,1.7
802,351.1,4,16,2.0
546,187.9,4,32,0.0
661,392.2,4,32,0.2
232,350.2,4,32,0.4
298,350.1,4,32,0.6
43,487.9,4,32,0.8
579,151.1,4,32,1.1
313,483.9,4,32,1.3
644,122.7,4,32,1.5
403,310.6,4,32,1.7
22,489.9,4,32,2.0
439,913.9,4,64,0.0
722,571.0,4,64,0.2
520,400.8,4,64,0.4
673,213.8,4,64,0.6
733,145.6,4,64,0.8
711,300.8,4,64,1.1
741,283.0,4,64,1.3
276,188.2,4,64,1.5
635,209.1,4,64,1.7
363,165.8,4,64,2.0
332,149.2,4,128,0.0
552,458.5,4,128,0.2
202,267.1,4,128,0.4
194,97.6,4,128,0.6
531,326.2,4,128,0.8
800,273.9,4,128,1.1
617,373.6,4,128,1.3
750,330.6,4,128,1.5
77,455.8,4,128,1.7
850,479.0,4,128,2.0
277,366.8,4,256,0.0
660,342.4,4,256,0.2
18,206.1,4,256,0.4
303,643.8,4,256,0.6
201,498.0,4,256,0.8
92,439.2,4,256,1.1
751,206.5,4,256,1.3
684,65.7,4,256,1.5
588,253.7,4,256,1.7
695,239.8,4,256,2.0
325,295.4,4,512,0.0
580,400.8,4,512,0.2
320,348.7,4,512,0.4
865,340.7,4,512,0.6
612,414.3,4,512,0.8
268,477.3,4,512,1.1
406,499.6,4,512,1.3
638,555.0,4,512,1.5
867,390.0,4,512,1.7
170,200.2,4,512,2.0
486,381.4,4,1024,0.0
386,865.5,4,1024,0.2
109,177.7,4,1024,0.4
672,362.8,4,1024,0.6
382,233.9,4,1024,0.8
465,883.5,4,1024,1.1
299,316.6,4,1024,1.3
495,461.0,4,1024,1.5
373,607.9,4,1024,1.7
804,92.0,4,1024,2.0
31,803.5,5,4,0.0
553,376.2,5,4,0.2
316,490.8,5,4,0.4
3,665.0,5,4,0.6
629,614.1,5,4,0.8
557,349.4,5,4,1.1
583,304.8,5,4,1.3
75,354.3,5,4,1.5
361,336.4,5,4,1.7
395,228.8,5,4,2.0
213,337.0,5,8,0.0
682,196.4,5,8,0.2
883,565.5,5,8,0.4
793,448.4,5,8,0.6
862,396.1,5,8,0.8
5,299.6,5,8,1.1
740,349.6,5,8,1.3
379,297.3,5,8,1.5
45,408.4,5,8,1.7
831,214.5,5,8,2.0
595,543.1,5,16,0.0
25,442.4,5,16,0.2
480,392.1,5,16,0.4
699,295.1,5,16,0.6
396,313.8,5,16,0.8
532,264.2,5,16,1.1
348,440.4,5,16,1.3
191,472.8,5,16,1.5
401,320.0,5,16,1.7
483,357.6,5,16,2.0
319,274.7,5,32,0.0
566,401.5,5,32,0.2
436,252.0,5,32,0.4
685,128.3,5,32,0.6
550,293.8,5,32,0.8
41,722.6,5,32,1.1
140,278.2,5,32,1.3
256,618.1,5,32,1.5
482,92.7,5,32,1.7
329,505.4,5,32,2.0
509,136.6,5,64,0.0
289,285.6,5,64,0.2
343,269.6,5,64,0.4
372,674.2,5,64,0.6
432,163.0,5,64,0.8
70,321.3,5,64,1.1
339,544.0,5,64,1.3
51,273.1,5,64,1.5
833,241.2,5,64,1.7
582,297.8,5,64,2.0
861,686.9,5,128,0.0
799,492.2,5,128,0.2
58,523.9,5,128,0.4
646,464.0,5,128,0.6
868,63.0,5,128,0.8
206,472.1,5,128,1.1
470,464.0,5,128,1.3
564,156.0,5,128,1.5
271,520.3,5,128,1.7
669,570.6,5,128,2.0
574,344.8,5,256,0.0
235,264.3,5,256,0.2
716,427.3,5,256,0.4
417,151.3,5,256,0.6
180,574.5,5,256,0.8
4,354.9,5,256,1.1
72,161.1,5,256,1.3
421,285.2,5,256,1.5
771,234.4,5,256,1.7
596,229.4,5,256,2.0
402,307.0,5,512,0.0
823,448.0,5,512,0.2
371,419.0,5,512,0.4
641,319.5,5,512,0.6
606,313.6,5,512,0.8
794,340.6,5,512,1.1
573,462.2,5,512,1.3
81,418.8,5,512,1.5
411,350.7,5,512,1.7
464,172.1,5,512,2.0
36,465.9,5,1024,0.0
664,687.3,5,1024,0.2
813,338.5,5,1024,0.4
776,249.1,5,1024,0.6
366,460.1,5,1024,0.8
220,245.7,5,1024,1.1
334,248.6,5,1024,1.3
96,113.6,5,1024,1.5
304,521.4,5,1024,1.7
503,427.4,5,1024,2.0
671,428.0,6,4,0.0
639,577.3,6,4,0.2
90,565.3,6,4,0.4
184,517.9,6,4,0.6
175,404.6,6,4,0.8
821,525.6,6,4,1.1
295,274.6,6,4,1.3
790,269.9,6,4,1.5
199,51.9,6,4,1.7
787,203.3,6,4,2.0
785,143.7,6,8,0.0
791,171.3,6,8,0.2
605,147.5,6,8,0.4
581,447.7,6,8,0.6
467,150.7,6,8,0.8
263,826.3,6,8,1.1
74,256.4,6,8,1.3
429,504.4,6,8,1.5
171,625.1,6,8,1.7
160,577.4,6,8,2.0
618,501.8,6,16,0.0
721,306.9,6,16,0.2
282,183.9,6,16,0.4
726,423.2,6,16,0.6
103,274.3,6,16,0.8
854,351.0,6,16,1.1
236,493.3,6,16,1.3
280,217.0,6,16,1.5
244,309.3,6,16,1.7
897,184.9,6,16,2.0
230,188.1,6,32,0.0
763,717.2,6,32,0.2
498,270.8,6,32,0.4
377,286.7,6,32,0.6
690,400.5,6,32,0.8
576,658.5,6,32,1.1
215,360.0,6,32,1.3
335,437.3,6,32,1.5
556,323.4,6,32,1.7
501,287.8,6,32,2.0
409,341.1,6,64,0.0
33,697.2,6,64,0.2
539,303.6,6,64,0.4
142,177.8,6,64,0.6
523,399.0,6,64,0.8
177,576.2,6,64,1.1
350,305.3,6,64,1.3
354,202.0,6,64,1.5
453,662.7,6,64,1.7
24,225.5,6,64,2.0
419,577.5,6,128,0.0
204,357.9,6,128,0.2
728,208.8,6,128,0.4
697,560.1,6,128,0.6
68,586.1,6,128,0.8
870,204.6,6,128,1.1
7,534.2,6,128,1.3
496,183.3,6,128,1.5
314,298.7,6,128,1.7
219,500.2,6,128,2.0
158,161.7,6,256,0.0
653,445.2,6,256,0.2
725,358.7,6,256,0.4
39,184.2,6,256,0.6
17,273.4,6,256,0.8
54,184.5,6,256,1.1
156,518.9,6,256,1.3
331,311.7,6,256,1.5
537,421.1,6,256,1.7
126,487.4,6,256,2.0
610,545.3,6,512,0.0
628,542.6,6,512,0.2
885,148.1,6,512,0.4
745,614.1,6,512,0.6
367,360.3,6,512,0.8
428,725.6,6,512,1.1
327,242.0,6,512,1.3
34,156.9,6,512,1.5
736,289.9,6,512,1.7
192,266.7,6,512,2.0
518,677.2,6,1024,0.0
427,141.8,6,1024,0.2
689,321.7,6,1024,0.4
389,641.1,6,1024,0.6
67,625.1,6,1024,0.8
896,367.9,6,1024,1.1
469,515.6,6,1024,1.3
128,282.2,6,1024,1.5
261,251.7,6,1024,1.7
784,375.3,6,1024,2.0
786,494.7,7,4,0.0
670,195.3,7,4,0.2
484,308.3,7,4,0.4
571,198.0,7,4,0.6
603,231.5,7,4,0.8
541,210.3,7,4,1.1
704,355.3,7,4,1.3
706,213.8,7,4,1.5
424,185.5,7,4,1.7
388,562.3,7,4,2.0
437,573.5,7,8,0.0
735,364.9,7,8,0.2
807,607.0,7,8,0.4
265,361.8,7,8,0.6
359,248.5,7,8,0.8
651,155.7,7,8,1.1
487,403.3,7,8,1.3
568,164.8,7,8,1.5
234,155.1,7,8,1.7
592,105.2,7,8,2.0
714,397.2,7,16,0.0
535,509.3,7,16,0.2
416,431.4,7,16,0.4
420,387.2,7,16,0.6
694,366.6,7,16,0.8
355,88.5,7,16,1.1
607,166.7,7,16,1.3
666,95.1,7,16,1.5
245,404.5,7,16,1.7
855,661.7,7,16,2.0
647,287.6,7,32,0.0
642,363.5,7,32,0.2
874,611.7,7,32,0.4
701,485.2,7,32,0.6
144,403.1,7,32,0.8
623,70.5,7,32,1.1
710,262.3,7,32,1.3
338,288.3,7,32,1.5
730,460.4,7,32,1.7
422,271.8,7,32,2.0
780,540.1,7,64,0.0
248,745.8,7,64,0.2
522,461.3,7,64,0.4
880,543.2,7,64,0.6
507,360.3,7,64,0.8
260,286.5,7,64,1.1
559,98.1,7,64,1.3
678,371.3,7,64,1.5
888,275.8,7,64,1.7
841,747.3,7,64,2.0
757,286.4,7,128,0.0
29,87.8,7,128,0.2
889,571.6,7,128,0.4
305,414.4,7,128,0.6
662,367.9,7,128,0.8
397,472.2,7,128,1.1
748,239.5,7,128,1.3
475,267.1,7,128,1.5
370,610.6,7,128,1.7
681,232.4,7,128,2.0
89,143.4,7,256,0.0
643,181.7,7,256,0.2
362,502.2,7,256,0.4
288,416.8,7,256,0.6
636,285.6,7,256,0.8
700,397.5,7,256,1.1
